doi	level
10.1007/bf01208708	2
10.1007/bf01208709	2
10.1007/bf01210585	2
10.1007/bf01210586	2
10.1007/bf01210587	2
10.1007/bf01210588	2
10.1007/bf01210589	2
10.1007/bf01210590	2
10.1007/bf01210591	2
10.1007/bf01210600	2
10.1007/bf01210601	2
10.1007/bf01210602	2
10.1007/bf01210604	2
10.1007/bf01210605	2
10.1007/bf01210606	2
10.1007/bf01210607	2
10.1007/bf01210608	2
10.1007/bf01210609	2
10.1007/bf01829379	1
10.1007/bf01829380	1
10.1007/bf01829381	1
10.1007/bf01829382	1
10.1007/bf01829384	1
10.1007/bf01829385	1
10.1007/bf01829386	1
10.1007/bf01829387	1
10.1007/bf01829388	1
10.1007/bf01829389	1
10.1007/bf01829390	1
10.1007/bf01829393	1
10.1007/bf01829874	1
10.1007/bf01829875	1
10.1007/bf01829876	1
10.1007/bf01829877	1
10.1007/bf01829969	1
10.1007/bf01829970	1
10.1007/bf01829971	1
10.1007/bf01829972	1
10.1007/bf01829973	1
10.1007/bf01830068	1
10.1007/bf01830268	1
10.1007/bf01830269	1
10.1007/bf01830270	1
10.1007/bf01830277	1
10.1007/bf01830278	1
10.1007/bf01830300	1
10.1007/bf01830301	1
10.1007/bf01830302	1
10.1007/bf01830303	1
10.1007/bf01830305	1
10.1007/bf01830313	1
10.1007/bf01830314	1
10.1007/bf01830315	1
10.1007/bf01830316	1
10.1007/bf01830317	1
10.1007/bf01830318	1
10.1007/bf01830366	1
10.1007/bf01830368	1
10.1007/bf01830369	1
10.1007/bf01830370	1
10.1007/bf01830393	1
10.1007/bf01830394	1
10.1007/bf01830395	1
10.1007/bf01830396	1
10.1007/bf01830398	1
10.1007/bf01830615	1
10.1007/bf01830616	1
10.1007/bf01830617	1
10.1007/bf01830682	1
10.1007/bf01830683	1
10.1007/bf01830685	1
10.1007/bf01830686	1
10.1007/bf01830688	1
10.1007/bf01830689	1
10.1007/bf01830694	1
10.1007/bf01830704	1
10.1007/bf01830705	1
10.1007/bf01830709	1
10.1007/bf01830710	1
10.1007/bf01830711	1
10.1007/bf01830712	1
10.1007/bf01830713	1
10.1007/bf01830714	1
10.1007/bf01830715	1
10.1007/bf01830716	1
10.1007/bf01830737	1
10.1007/bf01830738	1
10.1007/bf01830740	1
10.1007/bf01889638	2
10.1007/bf01889639	2
10.1007/bf01889640	2
10.1007/bf01889761	2
10.1007/bf01889762	2
10.1007/bf01889764	2
10.1007/bf01889765	2
10.1007/bf01889940	2
10.1007/bf01889941	2
10.1007/bf01889942	2
10.1007/bf01891269	2
10.1007/bf01891270	2
10.1007/bf01891271	2
10.1007/bf01891272	2
10.1007/bf01891277	2
10.1007/bf01891279	2
10.1007/bf01891320	2
10.1007/bf01891321	2
10.1007/bf01891323	2
10.1007/bf01891324	2
10.1007/bf01891353	2
10.1007/bf01891354	2
10.1007/bf01891355	2
10.1007/bf01891356	2
10.1007/bf01891357	2
10.1007/bf01891362	2
10.1007/bf01891363	2
10.1007/bf01891364	2
10.1007/bf01891365	2
10.1007/bf01891366	2
10.1007/bf01891367	2
10.1007/bf01891374	2
10.1007/bf01891375	2
10.1007/bf01891376	2
