id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight	score<perc dh pubs>	score<perc dh level 1>	score<perc dh level 2>
417942	5068	1.0231	0.1358	2	368	1.0439	411	0	0	0
91923	3931	-0.4253	1.0699	6	300	1.0988	1561	0	0	0
671958	3999	-0.9672	0.4315	3	593	1.1108	1456	0	0	0
559874	4392	-0.6362	-0.4423	4	876	1.0858	935	0	0	0
253137	1539	-0.5596	0.6587	3	967	1.9959	9115	0	0	0
459045	4821	-0.8733	-0.3888	4	589	1.0751	582	0	0	0
663765	4124	-0.5126	0.8029	3	216	1.0514	1260	0	0	0
282629	3174	1.0361	0.3593	2	834	1.6806	3043	0	0	0
616639	1196	0.3417	-0.4384	1	2186	2.5221	11556	0	0	0
429062	2348	-0.9708	-0.3396	4	1226	2.2858	5425	0	0	0
144682	5676	-0.3934	0.9918	3	7	1.0001	54	0	0	0
427559	5494	-0.4896	0.399	3	48	1.0066	97	0	0	0
669180	2247	-0.2137	-0.12	5	2291	1.7254	5806	0	0	0
173263	4147	0.8634	0.0013	2	624	1.1717	1229	0	0	0
402018	2264	-0.6014	0.5221	3	1616	1.8397	5759	0	0	0
433908	2881	0.9904	0.3878	2	514	2.0633	3721	0	0	0
405760	3993	-0.9315	-0.3897	4	833	1.2483	1467	0	0	0
505276	453	0.9121	0.0186	2	2067	3.6961	21121	0	0	0
1485552	5034	-0.4739	0.5355	3	290	1.0405	438	0	0	0
33197	2250	-0.4376	-0.4072	5	2014	1.9031	5795	0	0	0
553679	4290	-0.6925	0.7164	3	403	1.0627	1049	0	0	0
661660	4706	-0.3494	-0.5417	1	950	1.0607	659	0	0	0
329643	819	-0.894	0.4787	3	1786	2.7564	15291	0	0	0
567989	4026	-0.3187	0.6714	6	964	1.1928	1426	0	0	0
1487705	5407	0.8018	-0.1938	2	392	1.0069	136	0	0	0
383712	1670	0.2651	-0.6272	1	1056	1.5571	8472	0	0	0
1101656	4807	0.746	0.3704	2	240	1.0969	595	0.00504201680672269	0	0.00504201680672269
411240	2748	0.0645	0.0926	5	1052	1.6955	4085	0	0	0
522374	2566	-0.4639	0.679	3	807	1.3752	4690	0	0	0
299665	2339	-0.918	0.4379	3	1136	1.5111	5464	0	0	0
308721	3504	0.1253	-0.7352	1	1191	1.1853	2315	0	0	0
563889	4770	-0.8687	-0.2996	4	844	1.1039	615	0	0	0
561464	4499	-0.9792	-0.2175	4	559	1.1353	829	0	0	0
442526	1663	-0.9175	-0.1516	4	1925	2.3556	8501	0	0	0
380350	876	-0.9092	0.0377	4	2016	3.5983	14591	0	0	0
376567	695	-0.8881	0.6723	3	981	2.4032	16867	0	0	0
1484611	4430	-0.6148	0.316	3	527	1.1994	898	0	0	0
373294	513	-0.1455	-0.5681	1	3035	5.9047	19904	0	0	0
597138	144	0.7015	-0.178	2	2637	7.5471	32608	0	0	0
555344	3404	0.7413	0.3647	2	1049	1.8772	2522	0	0	0
667851	2882	-0.0158	-0.5496	1	1630	1.601	3719	0	0	0
99611	314	0.601	-0.2288	2	2711	4.4486	24497	0	0	0
213565	1569	-0.0817	-0.506	1	2184	2.1051	8965	0	0	0
605647	1023	-0.822	-0.2862	4	1563	5.4278	13040	0	0	0
467595	3621	0.3672	-0.6751	1	583	1.1679	2076	0	0	0
300426	4842	1.0203	0.2584	2	463	1.0497	573	0.00174520069808028	0.00174520069808028	0
330953	615	-0.244	0.0942	3	2671	3.0512	17998	0	0	0
434279	4220	0.9526	0.4137	2	658	1.2633	1130	0.000884955752212389	0	0.000884955752212389
451133	2487	0.2299	-0.7972	1	1068	1.4416	4981	0	0	0
581618	1269	-1.0352	-0.1537	4	1158	2.4834	11004	0	0	0
384436	2999	0.2153	-0.4256	1	1261	1.38	3433	0	0	0
382616	7	0.8905	0.451	2	2824	21.2031	60345	0.000215427955920126	0	0.000215427955920126
357536	2486	0.0764	-0.1274	5	1093	1.43	4982	0	0	0
557916	1558	0.1734	-0.6903	1	1380	1.7325	9012	0	0	0
606515	1059	0.0966	-0.4475	1	2192	2.8865	12763	0	0	0
337025	594	0.1948	-0.5789	1	2283	3.0394	18376	0	0	0
242227	90	-0.9403	0.1822	4	2574	10.4784	38235	0	0	0
458905	4329	-0.7055	0.5082	3	339	1.1533	1003	0	0	0
1557158	5567	0.235	0.1569	5	48	1.0018	72	0	0	0
61172	5498	0.5326	-0.2533	2	25	1.0006	96	0	0	0
356363	4382	0.9919	0.4066	2	541	1.171	947	0	0	0
669441	4270	1.1385	0.1718	2	613	1.1747	1078	0.000927643784786642	0	0.000927643784786642
612957	1871	-0.4345	0.7903	3	814	1.8752	7437	0.000134462821029985	0	0.000134462821029985
670788	560	-0.9093	0.1672	3	2075	3.2085	18887	0	0	0
535068	3487	-0.7764	0.582	3	820	1.2304	2344	0	0	0
672676	3096	-0.9561	0.251	3	1016	1.298	3232	0	0	0
142264	5338	-0.4519	0.7248	5	70	1.0042	184	0	0	0
349756	5289	0.4659	-0.2492	2	566	1.039	225	0	0	0
206170	3690	1.0378	0.3731	2	652	1.4857	1945	0	0	0
663949	1713	-0.0064	-0.5209	1	2075	2.1504	8253	0	0	0
660887	1939	-0.524	0.4811	3	1114	1.5942	7168	0	0	0
13316	214	1.0533	0.3052	2	2191	10.668	28781	0.000208470866196449	0.0000694902887321497	0.000138980577464299
564667	1061	0.4261	-0.5686	1	1055	1.7164	12739	0	0	0
621277	3577	-0.9003	-0.2546	4	1010	1.3758	2180	0	0	0
80858	3542	-0.7445	-0.3997	4	1032	1.3516	2236	0	0	0
668222	3134	-0.0799	-0.4348	1	2142	1.7263	3137	0	0	0
34403	660	0.1006	0.2441	5	2028	3.1402	17516	0	0	0
516625	4895	0.9686	0.091	2	435	1.0559	541	0	0	0
282188	4797	0.4034	-0.4344	1	440	1.0401	599	0	0	0
106299	1984	0.811	0.399	2	795	2.8348	6920	0.000144508670520231	0	0.000144508670520231
348345	3325	1.1052	0.2464	2	980	1.4479	2677	0.000373552484124019	0.000373552484124019	0
667824	2251	-0.8467	-0.3374	4	1426	2.5795	5794	0	0	0
96677	1761	-0.9261	0.6162	3	1013	1.6433	7982	0	0	0
369936	2658	1.0866	0.2467	2	736	2.2204	4407	0	0	0
442609	2204	0.3606	-0.4316	1	1831	1.9409	5985	0	0	0
