id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight	score<perc dh pubs>	score<perc dh level 1>	score<perc dh level 2>
397637	3797	0.2932	-0.2215	5	441	1.0961	824	0	0	0
412294	3798	-0.2109	0.8597	3	520	1.1361	824	0	0	0
865222	3799	-0.0733	-0.5761	2	448	1.2079	824	0	0	0
132872	3800	0.3561	0.2293	3	760	1.1647	821	0	0	0
376578	3801	-0.8253	-0.4215	1	440	1.1205	821	0	0	0
376312	3802	-0.4407	0.6536	3	562	1.1342	820	0	0	0
423227	3803	0.4834	0.4081	4	495	1.0984	820	0	0	0
370738	3804	-0.3414	-0.464	1	348	1.1086	820	0	0	0
203743	3805	0.0701	0.7544	3	615	1.1977	819	0	0	0
338403	3806	-0.6273	0.2185	13	414	1.1007	819	0	0	0
395767	3807	0.2436	-0.5616	2	457	1.1969	818	0	0	0
389330	3808	1.0294	-0.2908	2	244	1.178	816	0	0	0
124104	3809	-0.1702	1.0205	3	442	1.119	816	0	0	0
282048	3810	-0.4461	-0.5504	1	570	1.1422	814	0	0	0
429887	3811	0.3238	-0.5143	2	542	1.1597	814	0	0	0
427620	3812	-0.0969	0.8556	3	595	1.1566	812	0	0	0
409306	3813	-0.3558	0.5563	3	587	1.1153	812	0	0	0
1250992	3814	-0.5529	-0.4359	1	670	1.1588	811	0	0	0
345344	3815	0.3096	-0.2658	2	388	1.0956	810	0	0	0
430497	3816	0.0296	0.6725	3	705	1.1205	808	0	0	0
284576	3817	-0.2127	-0.1825	5	375	1.1036	808	0	0	0
220081	3818	-0.194	0.9609	3	736	1.3309	808	0	0	0
404541	3819	0.6803	-0.5233	2	446	1.2264	807	0	0	0
334910	3820	-0.5506	-0.4501	1	773	1.1594	807	0	0	0
370035	3821	0.7041	-0.2725	2	497	1.1114	806	0	0	0
417153	3822	-0.1654	0.8129	3	497	1.147	806	0	0	0
112822	3823	-0.6091	-0.4719	1	591	1.0991	805	0	0	0
74756	3824	-0.2701	-0.3816	5	463	1.0806	805	0	0	0
388338	3825	-0.2924	0.753	3	442	1.1324	805	0	0	0
325876	3826	0.189	-0.5969	2	377	1.1918	805	0	0	0
300395	3827	0.7863	-0.3394	2	262	1.0676	805	0	0	0
1226170	3828	-0.6883	0.1005	1	355	1.1002	805	0	0	0
