id	doi	level	outgoing	incoming
pub.1005351080	10.1353/dph.2014.0018	1	2	0
pub.1005731799	10.1080/13569783.2010.512186	1	7	3
pub.1005935478	10.1080/13569783.2012.670421	1	12	13
pub.1006020625	10.1080/13569783.2012.756602	1	0	0
pub.1005768028	10.1080/13569783.2015.1020055	1	0	0
pub.1006001101	10.1080/13569780903481003	1	5	2
pub.1006163250	10.1080/13569780152517695	1	0	0
pub.1006239878	10.1080/13569780120113102	1	0	0
pub.1006281695	10.1353/dph.2013.0012	1	3	1
pub.1006288066	10.1080/13569783.2015.1022144	1	5	5
pub.1006308399	10.1080/13569780903285982	1	3	1
pub.1006309889	10.1080/713692887	1	1	13
pub.1006294788	10.17928/jjadh.1.1_1	1	5	0
pub.1006366306	10.1080/13569783.2015.1059745	1	5	0
pub.1006454138	10.1080/13569780802538846	1	0	0
pub.1006444782	10.1080/13569783.2013.838342	1	0	0
pub.1006536865	10.1080/13569783.2015.1060120	1	0	0
pub.1006585027	10.1080/13569780120070713	1	2	4
pub.1006647480	10.1093/llc/fqv039	1	19	0
pub.1006765881	10.1353/dph.2013.0018	1	0	0
pub.1006564921	10.1080/13569780600671070	1	10	21
pub.1006918458	10.1080/13569783.2014.1000631	1	2	2
pub.1007021053	10.1145/2622609	1	8	5
pub.1007266266	10.1080/1356978042000185885	1	5	7
pub.1007511502	10.1080/13569783.2013.836918	1	6	4
pub.1007225621	10.1080/135697800114249	1	0	2
pub.1007610849	10.1093/llc/fqn024	1	0	0
pub.1007628595	10.1080/13569783.2014.983061	1	3	1
pub.1007707323	10.1080/13569783.2012.694037	1	2	1
pub.1007714753	10.5334/joad.aa	1	4	0
pub.1007755134	10.1080/13569783.2013.838346	1	0	0
pub.1007787518	10.1080/13569780701825369	1	0	0
pub.1007853539	10.1353/dph.2014.0010	1	2	3
pub.1007856265	10.1145/2037820.2037824	1	13	19
pub.1007973349	10.1080/135697800114258	1	0	0
pub.1008123060	10.1080/13569780903072117	1	10	3
pub.1008177104	10.1080/13569783.2016.1220247	1	3	4
pub.1008447892	10.1080/13569783.2013.810925	1	0	0
pub.1008096677	10.1353/dph.2013.0002	1	1	0
pub.1008329103	10.1080/13569783.2010.512187	1	9	12
pub.1008362511	10.1145/2770877	1	41	5
pub.1008529756	10.1080/13569780500053858	1	0	0
pub.1008603096	10.1353/dph.2012.0013	1	1	0
pub.1008766180	10.1080/13569781003700094	1	9	5
pub.1008771777	10.1080/13569783.2012.727627	1	4	4
pub.1008380021	10.1080/135697800114195	1	11	12
pub.1008571653	10.1080/13569783.2013.787263	1	0	1
pub.1008582111	10.1080/13569780308314	1	0	0
pub.1008714094	10.1080/13569780500437929	1	0	0
pub.1009061202	10.1353/dph.2013.0007	1	0	0
pub.1008723705	10.1093/llc/fqv049	1	9	4
pub.1009169318	10.1080/713692883	1	7	1
pub.1009242723	10.1145/2460376.2460378	1	18	23
pub.1009252244	10.5334/joad.ac	1	0	1
