id	level	doi
pub.1002172064	2	10.1007/s00799-007-0012-y
pub.1002189896	2	10.1108/10650751011048443
pub.1002220936	2	10.1007/s00799-011-0067-7
pub.1002223507	1	10.1080/13569780500275956
pub.1002276793	2	10.1023/a:1025729107628
pub.1002278199	2	10.1007/s10579-007-9060-6
pub.1002314542	2	10.1007/s10579-011-9142-3
pub.1002350169	2	10.1080/09296174.2012.714534
pub.1002358216	2	10.1162/coli.2006.32.2.159
pub.1002391931	2	10.1108/10650750310462811
pub.1002397311	2	10.1076/jqul.8.3.187.4095
pub.1002398660	1	10.1080/13569780802655731
pub.1002408007	2	10.1007/s00146-013-0479-6
pub.1002408201	2	10.1108/dlp-09-2015-0017
pub.1002409066	2	10.1108/10650750710720784
pub.1002425000	2	10.1023/a:1025042402655
pub.1002462855	2	10.1007/s00146-016-0653-8
pub.1002487316	2	10.1162/coli.2000.26.4.642
pub.1002490888	2	10.1162/089120100750105939
pub.1002496058	2	10.1007/s00146-009-0212-7
pub.1002503253	1	10.1080/13569780902868861
pub.1002512275	2	10.1007/s00146-004-0314-1
pub.1002540489	2	10.1007/s10579-007-9018-8
pub.1002554467	2	10.1162/coli_a_00133
pub.1002570914	2	10.1007/s00799-003-0073-5
pub.1002596924	2	10.1007/s00146-007-0152-z
pub.1002607986	2	10.1007/s00799-008-0043-z
pub.1002610717	2	10.1007/s00146-009-0189-2
pub.1002613208	2	10.1162/coli.08-032-r1-06-96
pub.1002640614	1	10.1080/13569783.2010.495270
pub.1002654148	2	10.1162/coli.2000.28.1.96
pub.1002661405	2	10.1007/s00146-012-0425-z
pub.1002672060	2	10.1007/s10579-016-9361-8
pub.1002672203	2	10.1007/s00146-013-0500-0
pub.1002675737	2	10.1007/s00146-010-0307-1
pub.1002707236	2	10.1162/089120100750105948
pub.1002722006	2	10.1007/s00146-007-0110-9
pub.1002722810	2	10.1007/s00146-012-0418-y
pub.1002727397	2	10.1023/a:1016178200469
pub.1002727912	2	10.1162/coli.2006.32.2.223
pub.1002730702	2	10.1162/coli_a_00243
pub.1002736599	2	10.1080/09296174.2012.685304
pub.1002766575	1	10.1080/13569780802410673
pub.1002783242	2	10.1007/s00799-016-0173-7
pub.1002789653	2	10.1162/coli.2010.36.1.36103
pub.1002792105	2	10.1007/s10579-008-9075-7
pub.1002821662	2	10.1108/10650750510598675
pub.1002839373	1	10.1080/13569780701321013
pub.1002853521	2	10.1007/s00146-013-0509-4
pub.1002865375	1	10.1080/135697800114177
pub.1002866796	2	10.1162/coli.2007.33.1.147
pub.1002866917	2	10.1162/089120103322711596
pub.1002873483	2	10.1162/089120101753342644
pub.1002894364	2	10.1162/coli_a_00258
pub.1002894942	2	10.1007/s00146-014-0537-8
pub.1002898487	1	10.1080/13569783.2015.1126172
pub.1002955262	2	10.1162/coli.2009.35.4.35411
pub.1002972025	2	10.1162/coli_a_00273
pub.1002982956	2	10.1023/a:1002613125904
pub.1002990785	2	10.1108/10650751111135391
pub.1003018056	2	10.1007/s00799-014-0131-1
pub.1003044768	2	10.1162/089120105774321109
pub.1003055696	2	10.1076/jqul.9.2.125.8487
pub.1003058514	2	10.1162/089120105775299122
pub.1003080204	1	10.1080/13569780903286105
pub.1003126967	2	10.1007/s00799-012-0085-0
pub.1003146819	2	10.1007/s00146-012-0406-2
pub.1003184377	1	10.1080/13569780500437655
pub.1003188907	2	10.1080/092961070500055335
pub.1003202776	2	10.1007/s00146-013-0475-x
pub.1003227451	2	10.1007/bf01205736
pub.1003244195	2	10.1162/coli_a_00219
pub.1003266599	2	10.1007/s00146-013-0464-0
pub.1003289246	2	10.1080/09296170512331383635
pub.1003324090	1	10.1080/13569783.2015.1059750
pub.1003325814	1	10.1080/13569783.2015.1059742
pub.1003328184	2	10.1007/s10579-014-9291-2
pub.1003390512	2	10.1023/a:1017549100097
pub.1003400282	2	10.1162/089120101753342707
pub.1003409811	2	10.1108/10650751111164588
pub.1003412715	2	10.1007/s00146-010-0299-x
pub.1003419608	2	10.1007/s00146-005-0026-1
pub.1003426085	2	10.1007/s00146-016-0651-x
pub.1003438183	2	10.1023/a:1002693207386
pub.1003446741	2	10.1007/s10579-010-9128-6
pub.1003448858	2	10.1007/s10579-009-9082-3
pub.1003450309	2	10.1007/s00146-008-0180-3
pub.1003459913	2	10.1007/s10579-014-9290-3
pub.1003508044	2	10.1162/coli_a_00178
pub.1003512893	2	10.1023/a:1016170031420
pub.1003526974	2	10.1080/09296170701378916
pub.1003540980	2	10.1007/pl00022695
pub.1003548521	2	10.1007/s10579-007-9045-5
pub.1003557596	2	10.1080/09296170500055269
pub.1003564694	2	10.1007/s10579-007-9059-z
pub.1003584597	2	10.1007/s00146-014-0549-4
pub.1003604017	1	10.1145/2069276.2069280
pub.1003604052	2	10.1007/s00146-011-0321-y
pub.1003629644	2	10.1108/oclc-02-2014-0013
pub.1003637674	2	10.1007/s00799-006-0004-3
pub.1003704211	2	10.1162/coli_a_00158
pub.1003751239	1	10.1145/2629485
pub.1003812320	2	10.1108/eum0000000005817
pub.1003840513	2	10.1007/bf01205740
pub.1003886114	2	10.1007/s00799-014-0109-z
pub.1003887107	1	10.1080/13569780600900750
pub.1003894033	2	10.1007/s10579-005-4822-5
pub.1003901010	2	10.1007/s00146-015-0612-9
pub.1003916147	2	10.1007/s10579-013-9253-0
pub.1003917021	2	10.1162/089120103321337449
pub.1003926204	2	10.1007/s00799-006-0002-5
pub.1003932381	2	10.1007/s00146-009-0208-3
pub.1003945394	2	10.1007/s00146-005-0015-4
pub.1003959970	2	10.1007/s10579-011-9145-0
pub.1003961012	1	10.1080/13569783.2014.895629
pub.1003974512	1	10.1080/713692878
pub.1003979163	2	10.1108/dlp-09-2015-0016
pub.1003988609	2	10.1108/10650750710831510
pub.1003993248	2	10.1007/s007990100044
pub.1004030793	2	10.1007/s00146-010-0308-0
pub.1004110473	1	10.1080/13569783.2011.617101
pub.1004122050	2	10.1108/10650750610664021
pub.1004140084	1	10.1145/1841317.1841319
pub.1004158927	2	10.1007/s00146-005-0020-7
pub.1004162327	2	10.1162/coli.2006.32.1.5
pub.1004174301	2	10.1007/s10579-016-9371-6
pub.1004174732	2	10.1108/dlp-09-2015-0014
pub.1004209601	2	10.1162/coli.2006.32.1.155
pub.1004224498	2	10.1007/s00146-007-0099-0
pub.1004232965	1	10.1145/1551676.1551679
pub.1004260490	1	10.1145/2399180.2399181
pub.1004267451	2	10.1007/s00146-004-0303-4
pub.1004307601	2	10.1080/09296174.2012.659002
pub.1004325173	1	10.1145/2950062
pub.1004424416	2	10.1162/coli_r_00067
pub.1004459656	1	10.1080/13569780308325
pub.1004472708	2	10.1076/jqul.8.3.165.4101
pub.1004488430	1	10.1145/1434763.1434765
pub.1004494703	1	10.1080/13569781003700144
pub.1004527460	2	10.1108/10650751011018464
pub.1004531581	2	10.1007/s00146-010-0294-2
pub.1004532929	2	10.1007/s10579-010-9118-8
pub.1004549619	2	10.1007/s00146-006-0073-2
pub.1004558930	2	10.1108/10650751311319304
pub.1004571996	1	10.1080/13569783.2011.572370
pub.1004601271	2	10.1007/s00146-012-0371-9
pub.1004684807	2	10.1007/s10579-016-9364-5
pub.1004693941	2	10.1007/s00146-003-0270-1
pub.1004696159	1	10.1080/135697800114203
pub.1004702587	2	10.1162/coli_a_00162
pub.1004750201	2	10.1007/s00146-014-0554-7
pub.1004754408	2	10.1162/0891201054223977
pub.1004760102	2	10.1162/coli.2007.33.2.259
pub.1004776353	1	10.1080/13569783.2015.1073581
pub.1004828628	1	10.1080/13569783.2016.1157016
pub.1004831751	2	10.1108/10650751311319278
pub.1004842980	2	10.1162/089120103322145315
pub.1004870110	2	10.1108/10650750410564691
pub.1004878014	2	10.1007/s00799-008-0038-9
pub.1004883526	2	10.1162/coli_a_00195
pub.1004899551	2	10.1007/s00146-007-0140-3
pub.1004912138	2	10.1007/s00799-004-0086-8
pub.1004913015	2	10.1007/s10579-009-9101-4
pub.1004916428	2	10.1162/coli_a_00152
pub.1004925549	2	10.1007/s10579-015-9334-3
pub.1004960796	2	10.1007/s00146-007-0160-z
pub.1004963137	2	10.1076/jqul.8.1.33.4092
pub.1004970073	2	10.1080/09296174.2013.857176
pub.1004981304	2	10.1007/s10579-011-9148-x
pub.1004986852	2	10.1162/089120102762671981
pub.1004988765	1	10.1080/13569783.2014.928011
pub.1005009826	2	10.1080/09296174.2013.799912
pub.1005030664	2	10.1007/s00799-004-0106-8
pub.1005033291	2	10.1007/s00799-004-0083-y
pub.1005057438	2	10.1007/s00799-007-0015-8
pub.1005095359	1	10.1080/13569780500437564
pub.1005114548	2	10.1162/coli_a_00247
pub.1005116335	2	10.1007/s00146-014-0568-1
pub.1005123542	2	10.1007/s00799-014-0111-5
pub.1005124125	2	10.1108/10650750910931922
pub.1005167050	1	10.1080/13569780802054935
pub.1005169781	2	10.1108/10650750510612443
pub.1005197713	2	10.1007/s00146-006-0036-7
pub.1005215781	2	10.1007/s00146-011-0359-x
pub.1005238779	2	10.1162/coli.2008.34.2.161
pub.1005262730	2	10.1108/oclc-07-2014-0029
pub.1005264609	1	10.1145/2700428
pub.1005311662	2	10.1007/s00146-011-0325-7
pub.1005323829	1	10.1080/13569780601095006
pub.1005359969	2	10.1007/s10579-007-9054-4
pub.1005408272	2	10.1007/s00146-011-0319-5
pub.1005522328	1	10.1080/1356978042000185911
pub.1005536742	2	10.1007/s00146-014-0570-7
pub.1005598459	2	10.1007/s00146-007-0153-y
pub.1005602060	1	10.1080/1356978042000255058
pub.1005609309	2	10.1007/s00146-009-0202-9
pub.1005611135	2	10.1162/coli_a_00074
pub.1005620483	2	10.1162/coli.2008.07-051-r2-03-57
pub.1005672305	2	10.1108/10650750810875458
pub.1005677774	1	10.1145/2460376.2460381
pub.1005705767	2	10.1007/s00146-015-0591-x
pub.1005712834	2	10.1108/10650751111182588
pub.1005718855	2	10.1162/coli.2006.32.4.457
pub.1005723191	2	10.1162/coli_a_00256
pub.1005731799	1	10.1080/13569783.2010.512186
pub.1005750578	2	10.1007/s10579-004-8682-1
pub.1005781031	1	10.1080/13569783.2013.787258
pub.1005788586	2	10.1007/s00146-007-0126-1
pub.1005795710	2	10.1108/10650750710776440
pub.1005796188	2	10.1007/s00146-003-0284-8
pub.1005816851	2	10.1007/s00146-012-0403-5
pub.1005844246	2	10.1076/jqul.9.1.35.8483
pub.1005859274	2	10.1007/s00146-009-0217-2
pub.1005877768	2	10.1080/09296170701378957
pub.1005886082	2	10.1007/s00146-003-0275-9
pub.1005914934	2	10.1007/s10579-015-9294-7
pub.1005916425	2	10.1162/coli.2009.35.4.35406
pub.1005935478	1	10.1080/13569783.2012.670421
pub.1005971121	2	10.1007/s10579-011-9165-9
pub.1005995777	2	10.1162/coli_r_00214
pub.1006001101	1	10.1080/13569780903481003
pub.1006013812	2	10.1007/s10579-013-9219-2
pub.1006064853	2	10.1007/s00146-015-0594-7
pub.1006083567	2	10.1023/a:1016134426453
pub.1006090748	2	10.1162/coli_a_00246
pub.1006093625	2	10.1007/s00799-015-0158-y
pub.1006098685	2	10.1007/s00146-014-0573-4
pub.1006106290	2	10.1007/s10579-012-9176-1
pub.1006123884	2	10.1162/089120105774321064
pub.1006155876	2	10.1108/10650750910982520
pub.1006159366	2	10.1076/jqul.9.3.261.14121
pub.1006191563	2	10.1007/s00799-014-0108-0
pub.1006261549	2	10.1007/s00146-014-0574-3
pub.1006273885	2	10.1007/s10579-015-9311-x
pub.1006280933	2	10.1007/s00146-003-0287-5
pub.1006285566	2	10.1108/oclc-05-2015-0005
pub.1006288066	1	10.1080/13569783.2015.1022144
pub.1006293946	2	10.1007/s10579-009-9091-2
pub.1006300420	2	10.1162/089120102762671963
pub.1006302710	2	10.1007/s00799-003-0050-z
pub.1006308399	1	10.1080/13569780903285982
pub.1006309889	1	10.1080/713692887
pub.1006324447	2	10.1007/s10579-012-9203-2
pub.1006342724	2	10.1007/s00799-009-0052-6
pub.1006359904	2	10.1007/s00146-009-0221-6
pub.1006413876	2	10.1007/s00146-011-0340-8
pub.1006453395	2	10.1108/10650750310508081
pub.1006532089	2	10.1080/09296170802326657
pub.1006546631	2	10.1007/s00799-014-0133-z
pub.1006564921	1	10.1080/13569780600671070
pub.1006573744	2	10.1080/09296170500172478
pub.1006585027	1	10.1080/13569780120070713
pub.1006585173	2	10.1007/s10579-016-9370-7
pub.1006647480	1	10.1093/llc/fqv039
pub.1006658147	2	10.1162/coli_a_00174
pub.1006679071	2	10.1007/s00146-013-0531-6
pub.1006704520	2	10.1108/10650750010354120
pub.1006730301	2	10.1108/10650750310733199
pub.1006761448	2	10.1007/s00146-015-0583-x
pub.1006761786	2	10.1007/s00146-009-0231-4
pub.1006779131	2	10.1162/coli_a_00192
pub.1006784959	2	10.1162/coli.2008.34.2.193
pub.1006846742	2	10.1023/a:1002609006340
pub.1006873108	2	10.1007/s00146-005-0322-9
pub.1006918458	1	10.1080/13569783.2014.1000631
pub.1007009922	2	10.1007/s10579-009-9103-2
pub.1007021053	1	10.1145/2622609
pub.1007073106	2	10.1007/s00146-010-0311-5
pub.1007078498	2	10.1007/s00799-011-0076-6
pub.1007119287	2	10.1007/s00799-016-0175-5
pub.1007149009	2	10.1162/coli.09-023-r1-08-002
pub.1007179036	2	10.1007/s00799-005-0133-0
pub.1007225706	2	10.1007/s10579-007-9023-y
pub.1007266266	1	10.1080/1356978042000185885
pub.1007315747	2	10.1007/s00146-016-0650-y
pub.1007334123	2	10.1007/s00799-010-0061-5
pub.1007348830	2	10.1007/s00146-009-0210-9
pub.1007397004	2	10.1108/10650751111164551
pub.1007404485	2	10.1007/s00146-011-0367-x
pub.1007419740	2	10.1162/089120102760275992
pub.1007465346	2	10.1007/s10579-005-7882-7
pub.1007506365	2	10.1007/s00146-015-0637-0
pub.1007511502	1	10.1080/13569783.2013.836918
pub.1007589893	2	10.1080/09296170802159512
pub.1007593314	2	10.1108/10650751011087585
pub.1007595927	2	10.1007/s00146-010-0269-3
pub.1007628595	1	10.1080/13569783.2014.983061
pub.1007657458	2	10.1007/s00146-007-0087-4
pub.1007659191	2	10.1007/s10579-013-9248-x
pub.1007697686	2	10.1007/s00799-016-0169-3
pub.1007722336	2	10.1007/s10579-012-9200-5
pub.1007776785	2	10.1007/s10579-008-9077-5
pub.1007787176	2	10.1007/s10579-013-9236-1
pub.1007856265	1	10.1145/2037820.2037824
pub.1007877590	2	10.1162/089120101750300526
pub.1007891160	2	10.1007/s10579-013-9238-z
pub.1007920992	2	10.1007/s00146-009-0262-x
pub.1007924551	2	10.1080/09296174.2014.974456
pub.1007933059	2	10.1007/s00146-012-0376-4
pub.1007934187	2	10.1007/bf01205515
pub.1007968979	2	10.1162/coli_a_00185
pub.1008032983	2	10.1080/09296170512331383575
pub.1008083734	2	10.1162/089120100561737
pub.1008094067	2	10.1076/jqul.9.1.19.8484
pub.1008105004	2	10.1162/089120102762671945
pub.1008113865	2	10.1007/s10579-013-9252-1
pub.1008123060	1	10.1080/13569780903072117
pub.1008156736	2	10.1162/coli_a_00206
pub.1008168780	2	10.1007/s10579-013-9256-x
pub.1008175579	2	10.1007/s00799-016-0194-2
pub.1008177104	1	10.1080/13569783.2016.1220247
pub.1008216582	2	10.1076/jqul.9.3.193.14125
pub.1008224762	2	10.1007/s00146-011-0361-3
pub.1008265775	2	10.1162/089120102762671936
pub.1008268301	2	10.1108/10650750310490270
pub.1008313960	2	10.1080/09296174.2011.556002
pub.1008329103	1	10.1080/13569783.2010.512187
pub.1008362511	1	10.1145/2770877
pub.1008365948	2	10.1007/s00799-014-0113-3
pub.1008380021	1	10.1080/135697800114195
pub.1008425348	2	10.1007/s00146-015-0614-7
pub.1008449113	2	10.1162/coli_r_00187
pub.1008453614	2	10.1162/coli_r_00224
pub.1008462814	2	10.1007/s00799-005-0135-y
pub.1008488382	2	10.1108/10650751111106500
pub.1008516626	2	10.1162/089120101750300490
pub.1008516893	2	10.1007/s10579-014-9272-5
pub.1008558410	2	10.1162/089120102760276009
pub.1008581951	2	10.1007/s00146-007-0120-7
pub.1008586187	2	10.1080/09296171003643213
pub.1008643913	2	10.1108/10650750510612399
pub.1008667956	2	10.1108/10650750810914210
pub.1008672120	2	10.1007/s00146-013-0506-7
pub.1008706089	2	10.1007/s00146-009-0216-3
pub.1008717407	2	10.1162/coli.08-011-r2-07-021
pub.1008723705	1	10.1093/llc/fqv049
pub.1008739973	2	10.1162/coli.2004.30.4.521
pub.1008757237	2	10.1007/s00146-011-0335-5
pub.1008766180	1	10.1080/13569781003700094
pub.1008771777	1	10.1080/13569783.2012.727627
pub.1008816239	2	10.1007/s10579-005-2699-y
pub.1008816744	2	10.1007/s00146-004-0306-1
pub.1008837464	2	10.1007/s00146-013-0481-z
pub.1008915870	2	10.1007/s00146-016-0660-9
pub.1008925231	2	10.1162/coli_a_00078
pub.1008934357	2	10.1162/coli_a_00017
pub.1008956796	2	10.1080/09296174.2014.1001634
pub.1008959389	2	10.1007/s007990000035
pub.1009008836	2	10.1080/09296174.2014.911508
pub.1009029677	2	10.1108/10650750610663932
pub.1009056260	2	10.1108/10650750510629625
pub.1009092186	2	10.1162/coli_a_00275
pub.1009099928	2	10.1007/s00146-007-0143-0
pub.1009102040	2	10.1007/s00146-007-0128-z
pub.1009111625	2	10.1007/s00799-006-0006-1
pub.1009113997	2	10.1007/s00146-009-0263-9
pub.1009133672	2	10.1162/coli_r_00165
pub.1009139239	2	10.1162/coli.2002.28.4.576
pub.1009151300	2	10.1007/s00799-014-0121-3
pub.1009169318	1	10.1080/713692883
pub.1009194084	2	10.1108/oclc-01-2014-0001
pub.1009216580	1	10.1080/13569783.2014.895616
pub.1009228785	1	10.1080/13569783.2013.810931
pub.1009239198	2	10.1007/s00146-013-0467-x
pub.1009242723	1	10.1145/2460376.2460378
pub.1009257991	2	10.1007/s00146-015-0625-4
pub.1009258715	2	10.1162/coli_a_00168
pub.1009272170	2	10.1108/10650751111106519
pub.1009289120	1	10.1080/13569783.2015.1127153
pub.1009297554	2	10.1007/s10579-015-9327-2
pub.1009334067	1	10.1080/13569783.2011.541608
pub.1009341608	1	10.1080/13569783.2012.670422
pub.1009382557	1	10.1080/13569783.2014.928005
pub.1009392109	2	10.1108/10650750210430132
pub.1009442979	2	10.1080/09296174.2011.533591
pub.1009457519	2	10.1007/s00799-005-0117-0
pub.1009508427	1	10.1145/2001416.2001418
pub.1009515643	1	10.1093/llc/fqv067
pub.1009539432	2	10.1007/s00799-009-0055-3
pub.1009546553	2	10.1162/coli_a_00218
pub.1009547315	1	10.1145/2843947
pub.1009549589	2	10.1108/10650751011073625
pub.1009550283	2	10.1007/s00146-007-0129-y
pub.1009577288	2	10.1007/s00146-012-0405-3
pub.1009593659	1	10.1080/13569783.2015.1019444
pub.1009616130	1	10.1093/llc/fqv052
pub.1009624333	2	10.1007/s10579-014-9266-3
pub.1009687207	2	10.1007/s10579-012-9187-y
pub.1009734803	2	10.1007/s00146-009-0245-y
pub.1009735352	2	10.1007/s00799-015-0154-2
pub.1009746400	1	10.1093/llc/fqv044
pub.1009751466	2	10.1080/09296174.2013.773140
pub.1009777549	2	10.1007/s00146-014-0535-x
pub.1009798919	2	10.1007/s00799-004-0109-5
pub.1009811716	2	10.1007/s00799-008-0035-z
pub.1009868604	1	10.1145/2983918
pub.1009896556	2	10.1080/09296174.2013.773138
pub.1009910203	1	10.1093/llc/fqv015
pub.1009914085	2	10.1007/s00146-015-0629-0
pub.1009927109	2	10.1162/coli_a_00261
pub.1009953728	2	10.1007/s10579-011-9163-y
pub.1009956682	2	10.1007/s00146-003-0273-y
pub.1010000914	2	10.1007/s00146-005-0022-5
pub.1010003799	2	10.1162/coli_r_00154
pub.1010004503	2	10.1007/s00799-005-0122-3
pub.1010063773	1	10.1080/13569780802054802
pub.1010093726	1	10.1145/2307723.2307726
pub.1010100510	2	10.1162/coli_a_00091
pub.1010110808	2	10.1076/jqul.10.1.41.16549
pub.1010111314	2	10.1023/a:1025071200644
pub.1010124457	2	10.1108/10650750210424779
pub.1010166607	2	10.1007/s10579-013-9215-6
pub.1010185333	2	10.1007/s00799-013-0106-7
pub.1010248405	2	10.1007/s10579-015-9295-6
pub.1010301548	2	10.1080/09296170500500843
pub.1010303727	2	10.1007/s00799-016-0199-x
pub.1010350032	2	10.1007/s00146-015-0627-2
pub.1010375481	2	10.1007/s00146-007-0155-9
pub.1010386460	2	10.1108/10650750110409380
pub.1010458806	2	10.1162/coli_a_00046
pub.1010465433	2	10.1162/0891201053630318
pub.1010524705	1	10.1080/13569783.2012.670427
pub.1010567589	2	10.1007/s00146-013-0513-8
pub.1010604566	2	10.1007/s00799-011-0064-x
pub.1010620759	2	10.1007/s00146-007-0137-y
pub.1010643551	1	10.1145/2629484
pub.1010654428	2	10.1080/09296174.2015.1106270
pub.1010669977	2	10.1108/oclc-12-2012-0042
pub.1010671357	2	10.1007/s00146-013-0528-1
pub.1010689048	2	10.1007/s00799-013-0104-9
pub.1010689468	2	10.1007/s00799-004-0080-1
pub.1010716709	2	10.1007/s00146-013-0469-8
pub.1010833040	1	10.1080/13569783.2015.1068108
pub.1010844815	1	10.1145/2626289
pub.1010869671	2	10.1007/s10579-012-9194-z
pub.1010872820	2	10.1007/s00146-006-0075-0
pub.1010876115	2	10.1007/s10579-012-9212-1
pub.1010891175	2	10.1007/s10579-010-9115-y
pub.1010918297	2	10.1007/s00146-013-0444-4
pub.1010923949	1	10.1080/13569781003700086
