discipline	pubs	type
Psychology	702095	ss
Pedagogical & Educational Research	250432	ss
Anthropology	200824	ss
History	119574	ah
Linguistics	96918	ah
Philosophy	83335	ah
Political Sciences and International Relations	80297	ss
Business and Management	71330	ss
Economics	52234	ss
Archaeology	45576	ah
