eid	level	doi
52549125228	2	NULL
52549130242	1	NULL
52549130242	2	NULL
52649094411	1	NULL
52649094411	2	NULL
52649167899	1	NULL
52649167899	2	NULL
52849100267	1	NULL
52849100267	2	NULL
52849102613	1	NULL
52849102613	2	NULL
52849104686	1	NULL
52849104686	2	NULL
52849104687	1	NULL
52849104687	2	NULL
52849109853	1	NULL
52849109853	2	NULL
52849120105	1	NULL
52849120105	2	NULL
52849121557	2	10.1007/BF01205519
52849126513	2	10.1007/BF01205515
52849130061	1	NULL
52849130061	2	NULL
54049084611	2	10.1007/s00146-007-0118-1
54049127777	2	10.1007/s00146-006-0066-1
54049139636	2	10.1007/s00146-006-0065-2
54049155767	2	10.1007/s00146-006-0069-y
54349091046	2	10.1007/s00146-008-0183-0
54349091634	2	10.1007/s00146-008-0180-3
54349114749	2	10.1007/s00146-007-0174-6
54349115340	2	10.1007/s00146-008-0184-z
54349116223	2	10.1007/s00146-007-0178-2
54349119605	2	10.1007/s00146-008-0181-2
54349121738	2	10.1007/s00146-008-0182-1
54349126458	2	10.1007/s00146-007-0177-3
54749090499	1	NULL
54749090499	2	NULL
55949083644	1	10.1007/s10579-008-9073-9
55949083644	2	10.1007/s10579-008-9073-9
55949093967	1	10.1007/s10579-008-9072-x
55949093967	2	10.1007/s10579-008-9072-x
55949111641	1	10.1007/s10579-008-9069-5
55949111641	2	10.1007/s10579-008-9069-5
56049086076	2	10.1007/s00799-008-0048-7
56049087278	2	10.1007/s00799-008-0044-y
56049091745	2	10.1007/s00799-008-0043-z
56049104459	1	10.1007/s10579-008-9070-z
56049104459	2	10.1007/s10579-008-9070-z
56049114660	2	10.1007/s00799-008-0047-8
56049117154	2	10.1007/s00799-008-0046-9
56049122675	2	10.1007/s00799-008-0045-x
56849120024	2	10.1007/s00799-003-0065-5
57349126314	2	10.1162/coli.07-056-R1-07-027
57349188935	2	10.1162/coli.08-003-R1-07-044
57749135569	2	10.1080/09296170801961827
57749136406	2	10.1080/09296170801961801
57749137132	2	10.1080/09296170801961843
59849093076	1	10.1007/s10579-008-9076-6
59849093076	2	10.1007/s10579-008-9076-6
59849095747	1	10.1007/s10579-009-9080-5
59849095747	2	10.1007/s10579-009-9080-5
59849121845	1	10.1007/s10579-008-9079-3
59849121845	2	10.1007/s10579-008-9079-3
60449120186	1	10.1007/s10579-009-9088-x
60449120186	2	10.1007/s10579-009-9088-x
61449103507	1	10.1007/s10579-008-9074-8
61449103507	2	10.1007/s10579-008-9074-8
61449125848	1	10.1007/s10579-008-9077-5
61449125848	2	10.1007/s10579-008-9077-5
61449179072	1	10.1007/s10579-009-9082-3
61449179072	2	10.1007/s10579-009-9082-3
61449183621	1	10.1007/s10579-008-9075-7
61449183621	2	10.1007/s10579-008-9075-7
61449202810	1	10.1007/s10579-007-9046-4
61449202810	2	10.1007/s10579-007-9046-4
61449231565	1	10.1007/s10579-008-9078-4
61449231565	2	10.1007/s10579-008-9078-4
62349101225	2	10.1007/s00146-009-0194-5
62349108045	2	10.1007/s00146-009-0201-x
62349111941	2	10.1007/s00146-009-0200-y
62349116891	2	10.1007/s00146-009-0196-3
62349117233	2	10.1007/s00146-009-0198-1
62349118127	2	10.1007/s00146-009-0193-6
62349119324	2	10.1007/s00146-009-0195-4
62349123064	2	10.1007/s00146-009-0191-8
62349128065	2	10.1007/s00146-009-0197-2
62349133995	2	10.1007/s00146-009-0199-0
62449110396	2	10.1162/coli.07-036-R2-06-22
62449207163	2	10.1162/coli.2009.35.1.111
62449250182	2	10.1162/coli.07-031-R2-06-98
62449333443	2	10.1162/coli.2008.07-055-R2-06-29
62449343247	2	10.1162/coli.08-010-R1-07-048
62549107121	1	10.1093/llc/fqn023
62549146257	1	10.1093/llc/fqn022
62549156318	1	10.1093/llc/fqn019
62549165250	1	10.1093/llc/fqn040
65749149390	2	10.1080/09296170802159488
65749153595	2	10.1080/09296170802159512
65849146940	2	10.1080/09296170512331383575
65849300584	2	10.1080/09296170802514138
65849316051	2	10.1080/09296170802326657
65849334032	2	10.1080/09296170802326681
65849366538	2	10.1080/09296170802514146
65849373513	2	10.1080/09296170802514187
65849518568	2	10.1080/09296170802514153
66249121078	2	10.1007/s00146-008-0186-x
66449087250	1	10.1093/llc/fqp024
67149107214	2	10.1162/coli.06-79-prep15
67149108219	2	10.1162/coli.2009.35.2.119
67149119053	2	10.1162/coli.06-77-prep13
67149137896	2	10.1162/coli.06-78-prep14
67149143280	2	10.1162/coli.06-69-prep5
67349088695	2	10.1007/s00799-009-0050-8
67349099416	2	10.1007/s00146-009-0190-9
67349099907	2	10.1007/s00146-009-0202-9
67349123341	2	10.1007/s00146-009-0208-3
67349127882	2	10.1007/s00146-009-0188-3
67349129016	2	10.1007/s00146-009-0189-2
67349177846	2	10.1007/s00799-008-0049-6
67349194153	2	10.1007/s00799-003-0076-2
67349194646	2	10.1007/s00799-009-0051-7
67349228040	2	10.1007/s00146-009-0187-4
67349250942	2	10.1007/s00146-008-0185-y
67649476215	1	10.1007/s10579-009-9091-2
67649476215	2	10.1007/s10579-009-9091-2
67649535950	1	10.1007/s10579-009-9086-z
67649535950	2	10.1007/s10579-009-9086-z
67649541701	1	10.1007/s10579-009-9083-2
67649541701	2	10.1007/s10579-009-9083-2
67649545071	1	10.1007/s10579-009-9087-y
67649545071	2	10.1007/s10579-009-9087-y
67649545074	1	10.1007/s10579-009-9085-0
67649545074	2	10.1007/s10579-009-9085-0
67649548357	1	10.1007/s10579-009-9084-1
67649548357	2	10.1007/s10579-009-9084-1
69549088023	2	10.1300/J517v08n01_06
69749086244	1	10.1093/llc/fqp017
69749102276	1	10.1093/llc/fqp019
69749112518	1	10.1093/llc/fqp015
69749113906	1	10.1093/llc/fqp018
69749122626	1	10.1093/llc/fqp023
70349164066	2	10.1080/10911360802087325
70349518626	2	10.1162/coli.35.3.469
70349521673	2	10.1162/coli.08-022-R2-06-26
70349521675	2	10.1162/coli.08-032-R1-06-96
70349527648	2	10.1162/coli.08-011-R2-07-021
70349529656	2	10.1162/coli.08-012-R1-06-90
70350686154	1	10.1007/s10579-009-9081-4
70350686154	2	10.1007/s10579-009-9081-4
70350699374	1	10.1007/s10579-009-9092-1
70350699374	2	10.1007/s10579-009-9092-1
70449481471	2	10.1007/s00146-009-0226-1
70449517348	2	10.1007/s00146-009-0225-2
70449524530	2	10.1007/s00146-009-0221-6
70449526652	2	10.1007/s00146-009-0224-3
70449529850	2	10.1007/s00146-009-0207-4
70449532448	2	10.1007/s00146-009-0210-9
70449533070	2	10.1007/s00146-009-0228-z
70449535720	1	10.1007/s10579-009-9089-9
70449535720	2	10.1007/s10579-009-9089-9
71049132624	1	10.1093/llc/fqn043
71049165058	1	10.1093/llc/fqp002
71049172777	1	10.1093/llc/fqp027
71049173175	1	10.1093/llc/fqp025
71049179348	1	10.1093/llc/fqn012
71149089373	2	10.1007/s00799-009-0056-2
71149104073	2	10.1007/s00799-009-0052-6
71149110537	2	10.1007/s00799-009-0054-4
71749084431	2	10.1162/coli.2009.35.4.35407
71749094140	2	NULL
71749094730	2	10.1162/coli.2009.35.4.35405
71749098960	2	10.1162/coli.2009.35.4.35403
71749099165	2	10.1162/coli.2009.35.4.35406
71749114162	2	10.1162/coli.2009.35.4.35402
71749116444	2	10.1162/coli.2009.35.4.35401
71749117714	2	10.1162/coli.2009.35.4.35404
73849091594	2	10.1080/09296170902975700
73849111613	2	10.1080/09296170902734164
73849115243	2	10.1080/09296170902734222
73849121410	2	10.1080/09296170902734156
73849124203	2	10.1080/09296170902975742
73849130596	2	10.1080/09296170902975692
73849147174	2	10.1080/09296170902850358
73949154456	2	10.1080/19386380802656371
77049101700	2	10.1162/coli.2010.36.1.36102
77049102613	2	10.1162/coli.2010.36.1.36100
77049102835	2	10.1162/coli.2010.36.1.36101
77049105374	2	10.1162/coli.2010.36.1.36104
77049109829	2	10.1162/coli.2010.36.1.36103
77950296298	2	10.1007/s00146-009-0255-9
77950296493	2	10.1007/s00146-009-0234-1
77950297491	2	10.1007/s00146-009-0233-2
77950299327	2	10.1007/s00146-009-0242-1
77950299649	2	10.1007/s00146-009-0239-9
77950299981	2	10.1007/s00146-009-0264-8
77950300606	2	10.1007/s00146-009-0244-z
77950301043	2	10.1007/s00146-009-0236-z
77950301278	2	10.1007/s00146-009-0235-0
77950339633	2	10.1007/s00146-009-0243-0
77950689225	1	10.1007/s10579-009-9096-x
77950689225	2	10.1007/s10579-009-9096-x
77950689457	1	10.1007/s10579-009-9098-8
77950689457	2	10.1007/s10579-009-9098-8
77950689529	1	10.1007/s10579-009-9101-4
77950689529	2	10.1007/s10579-009-9101-4
77950689732	1	10.1007/s10579-009-9095-y
77950689732	2	10.1007/s10579-009-9095-y
77950690207	1	10.1007/s10579-009-9097-9
77950690207	2	10.1007/s10579-009-9097-9
77950691215	1	10.1007/s10579-009-9105-0
77950691215	2	10.1007/s10579-009-9105-0
77950691321	1	10.1007/s10579-009-9094-z
77950691321	2	10.1007/s10579-009-9094-z
77950691420	1	10.1007/s10579-009-9093-0
77950691420	2	10.1007/s10579-009-9093-0
77950691664	1	10.1007/s10579-009-9099-7
77950691664	2	10.1007/s10579-009-9099-7
77950748123	1	10.1007/s10579-009-9100-5
77950748123	2	10.1007/s10579-009-9100-5
77950756086	1	10.1007/s10579-009-9104-1
77950756086	2	10.1007/s10579-009-9104-1
77950758959	1	10.1007/s10579-009-9103-2
77950758959	2	10.1007/s10579-009-9103-2
77950761993	1	10.1007/s10579-009-9106-z
77950761993	2	10.1007/s10579-009-9106-z
77951157797	2	10.1007/s00799-003-0060-x
77951541962	2	10.1007/s00146-009-0247-9
77951647793	2	10.1300/J517v08n01_02
77951752134	2	10.1080/19386380802398503
77952324552	2	10.1080/09296171003643205
77952676244	1	10.1093/llc/fqp035
77952690936	1	10.1093/llc/fqp036
77952699907	1	10.1093/llc/fqp034
77952700995	1	10.1093/llc/fqp033
77952711583	1	10.1093/llc/fqp029
77952711910	1	10.1093/llc/fqp032
77952716905	1	10.1093/llc/fqp037
77952736367	1	10.1093/llc/fqp031
77952918329	2	10.1162/coli.2010.36.2.09054
77952939088	2	10.1162/coli.2010.36.2.36201
77953829322	2	10.1080/19386380802627117
77953886062	1	10.1093/llc/fqq001
77953888758	1	10.1093/llc/fqq002
77953889498	1	10.1093/llc/fqp040
77953889906	1	10.1093/llc/fqp030
77953893283	1	10.1093/llc/fqq005
77953902718	1	10.1093/llc/fqp039
77953903020	1	10.1093/llc/fqq004
77954027892	1	10.1007/s10579-010-9118-8
77954027892	2	10.1007/s10579-010-9118-8
77954032408	1	10.1007/s10579-010-9117-9
77954032408	2	10.1007/s10579-010-9117-9
77954032725	1	10.1007/s10579-010-9123-y
77954032725	2	10.1007/s10579-010-9123-y
77954035829	1	10.1007/s10579-010-9116-x
77954035829	2	10.1007/s10579-010-9116-x
77954456090	2	10.1007/s00799-010-0059-z
77954456496	2	10.1007/s00799-009-0057-1
77954459255	2	10.1007/s00799-010-0058-0
77954459500	2	10.1007/s00799-010-0060-6
77955086077	2	10.1007/s00146-009-0263-9
77955088213	2	10.1007/s00146-009-0257-7
77955089771	2	10.1007/s00146-009-0259-5
77955090105	2	10.1007/s00146-010-0288-0
77955090214	2	10.1007/s00146-009-0261-y
77955091135	2	10.1007/s00146-009-0258-6
77955091694	2	10.1007/s00146-009-0262-x
77955091784	2	10.1007/s00146-009-0260-z
77955115142	2	10.1080/19386380903405090
77955176442	2	10.1007/s00799-004-0079-7
77955543598	2	10.1007/s00799-010-0061-5
77955684249	1	10.1007/s10579-010-9121-0
77955684249	2	10.1007/s10579-010-9121-0
77956109552	1	10.1093/llc/fqq006
77956130609	1	10.1093/llc/fqq011
77956130802	1	10.1093/llc/fqq003
77956197365	1	10.1093/llc/fqq007
77956942473	2	10.1162/coli_a_00007
77957234643	2	10.1080/19386380903405074
77957821406	2	10.1080/19386380802373936
77958028534	2	10.1162/coli_a_00010
77958029965	2	10.1162/coli_a_00001
77958030243	2	10.1162/coli_a_00009
77958033638	2	10.1162/coli_a_00005
77958035709	2	10.1162/coli_a_00003
77958054484	2	10.1162/coli_a_00011
77958064005	2	NULL
77958066904	2	10.1162/coli_a_00006
77958070418	2	10.1162/coli_a_00002
77958074280	2	10.1162/coli_a_00004
78049245337	2	10.1007/s00146-010-0273-7
78049250325	2	10.1007/s00146-010-0272-8
78049252987	2	10.1007/s00146-010-0271-9
78049279273	2	10.1007/s00146-010-0270-x
78049303945	2	10.1007/s00146-010-0268-4
78049310800	2	10.1007/s00146-010-0274-6
78049316291	2	10.1007/s00146-010-0267-5
78149406722	1	10.1007/s10579-009-9109-9
78149406722	2	10.1007/s10579-009-9109-9
78149407720	1	10.1007/s10579-009-9107-y
78149407720	2	10.1007/s10579-009-9107-y
78149409865	1	10.1007/s10579-009-9108-x
78149409865	2	10.1007/s10579-009-9108-x
78149414252	1	10.1007/s10579-010-9120-1
78149414252	2	10.1007/s10579-010-9120-1
78649735557	2	10.1080/19386380903543734
78649752553	2	10.1080/19386380903546984
78649753454	2	10.1080/19386380903547008
78649754432	2	10.1080/19386380903095099
78650098233	2	10.1080/09296174.2010.512161
78650106565	2	10.1080/09296174.2010.512168
78650109426	2	10.1080/09296174.2010.512166
78650147154	2	10.1080/09296174.2010.512162
78650148964	2	10.1080/09296174.2010.512170
78650160979	2	10.1080/09296174.2010.512160
78650340284	1	10.1093/llc/fqq026
78650341336	1	10.1093/llc/fqq020
78650384124	1	10.1093/llc/fqq018
78650392268	1	10.1093/llc/fqq019
78650403484	1	10.1093/llc/fqq021
78650633610	2	10.1007/s007999900023
78650686637	2	NULL
78650689115	2	10.1162/coli_a_00013
78650695543	2	10.1162/coli_a_00015
78650700892	2	10.1162/coli_a_00018
78650705075	2	10.1162/coli_c_00031
78650705607	2	10.1162/coli_a_00017
78650714584	2	10.1162/coli_a_00014
78651427543	2	10.1007/s00146-009-0230-5
78651434630	2	10.1007/s00146-010-0282-6
78651440943	2	10.1007/s00146-010-0279-1
78651447519	2	10.1007/s00146-009-0231-4
78651449998	2	10.1007/s00146-010-0281-7
78651458376	2	10.1007/s00146-009-0232-3
78651459106	2	10.1007/s00146-010-0289-z
78651461736	2	10.1007/s00146-009-0227-0
79151480756	1	10.1007/s10579-011-9136-1
79151480756	2	10.1007/s10579-011-9136-1
79951487480	2	10.1080/19386389.2010.506389
79951684369	1	10.1080/13569783.2011.541610
79951694971	1	10.1080/13569783.2011.541600
79951702496	1	10.1080/13569783.2011.541607
79951704527	1	10.1080/13569783.2011.541608
79951711143	1	10.1080/13569783.2011.541598
79951717761	1	10.1080/13569783.2011.541613
79951817015	2	10.1080/19386380903405124
79951820053	2	10.1080/19386380802397083
79951830983	2	10.1080/19386389.2010.506385
79951832203	2	10.1080/19386389.2010.506396
79951833409	2	10.1080/19386389.2010.520604
79951834051	2	10.1080/19386389.2010.506395
79951834912	2	10.1080/19386380903094977
79951839830	2	10.1080/19386389.2011.545006
79951839832	2	10.1080/19386389.2011.545001
79951846015	2	10.1080/19386389.2011.544997
79951846650	2	10.1080/19386389.2010.506376
79951848480	2	10.1080/19386389.2010.506379
79951861422	2	10.1080/19386380903176063
79951863641	2	10.1080/19386380903095107
79951864060	2	10.1080/19386380802627109
79951875088	2	10.1080/19386380903405165
79951880835	2	10.1080/19386380903405157
79951888756	2	10.1080/19386389.2010.524864
79951896729	2	10.1080/19386389.2010.524862
79951900149	2	10.1080/10911360802087341
79951904964	2	10.1080/10911360802087317
79951906211	2	10.1080/19386380903405199
79951917732	2	10.1080/19386380903405173
79951927019	2	10.1080/19386380903095123
79951930506	2	10.1080/19386380903405207
79951931372	2	10.1080/19386389.2010.524863
79951934035	2	10.1080/19386380903095073
79952242434	1	10.1007/s10579-009-9113-0
79952242434	2	10.1007/s10579-009-9113-0
79952242625	1	10.1007/s10579-009-9111-2
79952242625	2	10.1007/s10579-009-9111-2
79952245827	1	10.1007/s10579-009-9112-1
79952245827	2	10.1007/s10579-009-9112-1
79952257964	2	10.1080/09296174.2011.533589
79952258328	2	10.1080/09296174.2011.533588
79952265209	2	10.1080/09296174.2011.533591
79952266216	2	10.1080/09296174.2011.533586
79952266823	2	10.1080/09296174.2011.533592
79952311058	1	10.1007/s10579-010-9115-y
79952311058	2	10.1007/s10579-010-9115-y
79952776445	2	NULL
79952778019	2	10.1162/coli_a_00037
79952779537	2	10.1162/coli_a_00040
79952788706	2	10.1162/coli_a_00038
79952791985	2	10.1162/coli_a_00036
79952792170	2	10.1162/coli_a_00046
79952795379	2	10.1162/coli_a_00039
79952798987	2	10.1162/coli_a_00034
79952803744	2	10.1162/coli_a_00033
79953071190	1	10.1093/llc/fqq014
79953074576	1	10.1093/llc/fqq016
79953091675	1	10.1093/llc/fqq013
79953097097	1	10.1093/llc/fqq029
79953102245	1	10.1093/llc/fqq017
79953107695	1	10.1093/llc/fqq028
79953121636	1	10.1093/llc/fqq027
79953236310	1	10.1080/13569783.2010.512187
79955527246	1	10.1007/s10579-010-9133-9
79955527246	2	10.1007/s10579-010-9133-9
79955528268	1	10.1007/s10579-010-9131-y
79955528268	2	10.1007/s10579-010-9131-y
79955528414	1	10.1007/s10579-011-9141-4
79955528414	2	10.1007/s10579-011-9141-4
79955529876	1	10.1007/s10579-011-9137-0
79955529876	2	10.1007/s10579-011-9137-0
79955540353	1	10.1007/s10579-010-9132-x
79955540353	2	10.1007/s10579-010-9132-x
79955542204	1	10.1007/s10579-010-9129-5
79955542204	2	10.1007/s10579-010-9129-5
79955546226	1	10.1007/s10579-010-9128-6
79955546226	2	10.1007/s10579-010-9128-6
79955722041	2	10.1007/s00146-009-0254-x
79955727956	2	10.1007/s00146-010-0294-2
79955731564	2	10.1007/s00146-010-0291-5
79955732491	2	10.1007/s00146-010-0300-8
79955736445	2	10.1007/s00146-010-0292-4
79955745791	2	10.1007/s00146-010-0299-x
79957791886	1	10.1093/llc/fqr010
79957793133	2	10.1080/19386389.2011.570662
79957793827	1	10.1093/llc/fqr006
79957796741	2	10.1080/19386389.2011.570655
79957842693	1	10.1093/llc/fqr001
79957862591	1	10.1093/llc/fqr004
79957867143	2	10.1080/19386389.2011.570654
79957872595	1	10.1093/llc/fqr005
79958245410	2	10.1162/COLI_a_00057
79958257877	2	10.1162/COLI_a_00049
79958274334	2	NULL
79958717927	2	10.1162/COLI_a_00051
79958736799	2	10.1162/COLI_a_00050
79960042689	1	10.1080/13569781003700078
79960049842	1	10.1080/13569783.2011.566988
79960052309	1	10.1080/13569783.2011.566991
79960067077	1	10.1080/13569783.2011.572370
79960069955	1	10.1080/13569783.2011.566987
79960207287	1	10.1080/13569781003700094
79960211122	1	10.1080/13569780903481060
79960211123	1	10.1080/13569781003700086
79960211580	1	10.1080/13569783.2010.512189
79960223210	1	10.1080/13569780903480971
79960228528	1	10.1080/13569780903481052
79960229597	1	10.1080/13569783.2010.495269
79960235252	1	10.1080/13569781003700151
79960252390	1	10.1080/13569783.2010.512186
79960253786	1	10.1080/13569783.2010.495272
79960254222	1	10.1080/13569781003700052
79960278411	1	10.1080/13569781003700144
79960279383	1	10.1080/13569781003700110
79960283993	1	10.1080/13569783.2010.512192
79960620057	2	10.1007/s00146-010-0303-5
79960620850	2	10.1007/s00146-010-0306-2
79960621426	2	10.1007/s00146-010-0308-0
79960635515	2	10.1007/s00146-010-0310-6
79960636211	2	10.1007/s00146-010-0311-5
79960646019	2	10.1007/s00146-010-0304-4
79960647814	2	10.1007/s00146-010-0305-3
79961208184	1	10.1007/s10579-011-9158-8
79961208184	2	10.1007/s10579-011-9158-8
79961208367	1	10.1007/s10579-011-9157-9
79961208367	2	10.1007/s10579-011-9157-9
79961208869	1	10.1007/s10579-011-9159-7
79961208869	2	10.1007/s10579-011-9159-7
79961209587	1	10.1007/s10579-011-9152-1
79961209587	2	10.1007/s10579-011-9152-1
79961209693	1	10.1007/s10579-011-9153-0
79961209693	2	10.1007/s10579-011-9153-0
79961210423	1	10.1007/s10579-011-9151-2
79961210423	2	10.1007/s10579-011-9151-2
79961210779	1	10.1007/s10579-011-9155-y
79961210779	2	10.1007/s10579-011-9155-y
80051664802	2	10.1007/s00799-011-0064-x
80051665745	2	10.1007/s00799-010-0062-4
80051672372	2	10.1007/s00799-011-0063-y
80051956333	1	10.1093/llc/fqr028
80051980174	1	10.1093/llc/fqr022
80051981545	1	10.1093/llc/fqr031
80051988777	1	10.1093/llc/fqr024
80051997235	1	10.1093/llc/fqr023
80052000648	1	10.1093/llc/fqr015
80052008818	1	10.1093/llc/fqr020
80052009910	1	10.1093/llc/fqr029
80052139257	1	10.1080/13569783.2011.589995
80052145650	1	10.1080/13569783.2011.589999
80052159797	1	10.1080/13569783.2011.589997
80052164928	1	10.1080/13569783.2011.589994
80052172381	1	10.1080/13569783.2011.589993
80052180925	1	10.1080/13569783.2011.589998
80052197996	2	10.1162/COLI_a_00058
80052200655	2	10.1162/COLI_a_00060
80052204608	2	10.1162/COLI_a_00063
80052241688	2	10.1162/COLI_a_00061
80052251201	2	10.1162/COLI_a_00064
80052614668	2	10.1080/09296174.2011.583405
80052628629	2	10.1080/09296174.2011.581850
80052629629	2	10.1080/09296174.2011.581849
80052640334	2	10.1080/09296174.2011.581848
80052792502	2	10.1007/s00146-009-0253-y
80054682541	2	10.1007/s00799-011-0069-5
80054683033	2	10.1007/s00799-011-0071-y
80054689961	2	10.1007/s00799-011-0072-x
80054691481	2	10.1007/s00799-011-0067-7
80054692388	2	10.1007/s00799-011-0070-z
80054712632	2	10.1007/s00799-011-0073-9
80255126266	2	10.1007/s00146-010-0314-2
80255127539	2	10.1007/s00146-010-0313-3
80255129343	2	10.1007/s00146-011-0321-y
80255130590	2	10.1007/s00146-011-0318-6
80255137238	2	10.1007/s00146-011-0319-5
80255137243	2	10.1007/s00146-011-0317-7
80255138843	2	10.1007/s00146-010-0316-0
80255140420	2	10.1007/s00146-010-0315-1
80255140534	2	10.1007/s00146-010-0312-4
80855128730	1	10.1007/s10579-011-9142-3
80855128730	2	10.1007/s10579-011-9142-3
80855131552	1	10.1007/s10579-011-9144-1
80855131552	2	10.1007/s10579-011-9144-1
80855143623	1	10.1007/s10579-011-9154-z
80855143623	2	10.1007/s10579-011-9154-z
80855143706	1	10.1007/s10579-011-9147-y
80855143706	2	10.1007/s10579-011-9147-y
80855161649	1	10.1007/s10579-010-9126-8
80855161649	2	10.1007/s10579-010-9126-8
81455131132	2	10.1007/s00799-011-0066-8
81455141281	2	10.1007/s00799-011-0074-8
81455158997	2	10.1007/s00799-011-0065-9
82255160675	2	10.1162/COLI_a_00075
82255162277	2	10.1162/COLI_a_00076
82255179850	2	10.1162/COLI_a_00072
82255179855	2	NULL
82255182058	2	10.1162/COLI_a_00078
82255182061	2	10.1162/COLI_a_00077
82255182442	2	10.1162/COLI_a_00074
82255182443	2	10.1162/COLI_a_00073
84855487190	2	10.1080/19386389.2011.629958
84855510361	2	10.1080/19386389.2011.629957
84855515440	2	10.1080/19386389.2011.629959
84856081184	2	10.1007/s00799-011-0076-6
84856098226	2	10.1007/s00799-011-0077-5
84856114193	2	10.1007/s00799-011-0075-7
84856171552	2	10.1162/COLI_a_00083
84856173463	2	10.1162/COLI_a_00085
84856184938	2	10.1162/COLI_a_00088
84856190967	2	10.1162/COLI_a_00084
84856197089	2	10.1162/COLI_a_00087
84856217189	2	10.1007/s00146-011-0327-5
84856217941	2	10.1007/s00146-011-0331-9
84856217957	2	10.1007/s00146-011-0325-7
84856219836	2	10.1007/s00146-011-0323-9
84856220472	2	10.1007/s00146-011-0329-3
84856223911	2	10.1007/s00146-011-0324-8
84856229602	2	10.1007/s00146-011-0328-4
84856230242	2	10.1007/s00146-011-0361-3
84856230507	2	10.1007/s00146-011-0362-2
84856243367	2	10.1007/s00146-011-0332-8
84856319797	2	10.1007/s00146-009-0252-z
84857270800	2	10.1080/09296174.2012.638797
84857272464	2	10.1080/09296174.2011.608604
84857297864	2	10.1080/09296174.2011.608607
84857326699	2	10.1080/09296174.2012.638796
84857336193	2	10.1080/09296174.2011.638792
84857342803	2	10.1080/09296174.2011.608602
84857465580	1	10.1093/llc/fqr026
84857491356	1	10.1093/llc/fqr033
84857492166	1	10.1093/llc/fqr009
84857494391	1	10.1093/llc/fqr013
84857495184	1	10.1093/llc/fqr018
84857499189	1	10.1093/llc/fqr034
84858591084	1	10.1080/13569783.2012.648986
84858597176	1	10.1080/13569783.2012.648991
84858612965	1	10.1080/13569783.2012.648989
84858809516	2	10.1080/19386389.2012.661689
84858848738	2	10.1080/19386389.2012.652565
84859011555	1	10.1093/llc/fqr043
84859033993	1	10.1080/13569783.2011.617106
84859034464	1	10.1093/llc/fqr049
84859035480	1	10.1093/llc/fqr038
84859037689	1	10.1080/13569783.2011.616399
84859038793	1	10.1093/llc/fqr039
84859065760	1	10.1080/13569783.2011.617108
84859068027	1	10.1080/13569783.2011.617099
84859075240	1	10.1007/s10579-011-9175-7
84859075240	2	10.1007/s10579-011-9175-7
84859081976	1	10.1093/llc/fqr050
84859093748	1	10.1080/13569783.2011.617104
84859096647	1	10.1080/13569783.2011.617110
84859102129	1	10.1007/s10579-011-9163-y
84859102129	2	10.1007/s10579-011-9163-y
84859102865	1	10.1007/s10579-011-9173-9
84859102865	2	10.1007/s10579-011-9173-9
84859103887	1	10.1007/s10579-011-9160-1
84859103887	2	10.1007/s10579-011-9160-1
84859105082	1	10.1007/s10579-011-9174-8
84859105082	2	10.1007/s10579-011-9174-8
84859105948	1	10.1007/s10579-011-9161-0
84859105948	2	10.1007/s10579-011-9161-0
84859111544	1	10.1007/s10579-011-9170-z
84859111544	2	10.1007/s10579-011-9170-z
84859221396	2	10.1080/09296174.2012.659003
84859262741	2	10.1080/09296174.2012.659000
84860214823	2	10.1007/s00146-011-0337-3
84860215578	2	10.1007/s00146-011-0348-0
84860216170	2	10.1007/s00146-011-0340-8
84860219939	2	10.1007/s00146-011-0342-6
84860221646	2	10.1007/s00146-011-0353-3
84860222109	2	10.1007/s00146-011-0335-5
84860223558	2	10.1007/s00146-011-0359-x
84860224794	2	10.1007/s00146-011-0341-7
84861533717	1	10.1093/llc/fqs009
84861546218	1	10.1093/llc/fqs011
84861555432	1	10.1093/llc/fqs003
84861563986	1	10.1093/llc/fqs002
84861581081	1	10.1093/llc/fqs010
84861593291	1	10.1080/13569783.2012.670426
84861596374	1	10.1080/13569783.2012.670425
84861596562	1	10.1080/13569783.2012.670422
84861622083	1	10.1080/13569783.2012.670423
84862853538	2	10.1162/COLI_a_00096
84862857004	2	10.1162/COLI_a_00095
84862876802	2	10.1162/COLI_a_00098
84862881587	2	10.1162/COLI_a_00126
84862898006	2	10.1162/COLI_a_00099
84862904033	2	10.1162/COLI_a_00097
84863359963	2	10.1080/19386389.2012.652569
84863401126	2	10.1162/COLI_a_00086
84864337010	2	10.1007/s00146-012-0373-7
84864346621	2	10.1007/s00799-012-0082-3
84864347557	2	10.1007/s00146-012-0381-7
84864355851	2	10.1007/s00799-012-0079-y
84864360354	2	10.1007/s00799-012-0080-5
84864367457	2	10.1007/s00799-012-0081-4
84864374706	2	10.1007/s00146-012-0379-1
84864374771	2	10.1007/s00146-012-0383-5
84864653981	1	10.1080/13569783.2012.694033
84864701580	1	10.1080/13569783.2012.701444
84864704900	1	10.1080/13569783.2012.694028
84864717337	1	10.1080/13569783.2012.694038
84865207152	2	10.1080/09296174.2012.685305
84865226684	2	10.1080/09296174.2012.685304
84865259376	2	10.1080/09296174.2012.685302
84865284030	2	10.1162/COLI_a_00092
84865288391	2	10.1162/COLI_a_00093
84865289996	2	10.1162/COLI_a_00114
84865298913	2	10.1162/COLI_a_00107
84865306164	2	10.1162/COLI_a_00091
84865307486	2	10.1162/COLI_a_00108
84865472903	1	10.1007/s10579-011-9139-y
