ut	level	doi
000185302500001	1	10.1023/A:1025720518994
000186631500002	2	10.1162/089120103322711578
000186631500003	2	10.1162/089120103322711587
000207735300007	1	10.1093/llc/fqm044
000207735500009	1	10.1093/llc/fqn020
000209902400002	1	10.1145/2597178
000209902600003	1	10.1145/2629484
000220741000003	2	10.1162/089120104773633385
000221116700004	2	10.1162/089120103322753365
000225712200001	2	10.1162/0891201042544893
000237100000004	2	10.1007/s10579-005-7884-5
000242286600002	2	10.1007/s10579-006-9006-4
000242286600005	2	10.1007/s10579-006-9009-1
000247471600003	2	10.1162/coli.2007.33.2.201
000250442700003	2	10.1007/s10579-007-9016-x
000250467300003	2	10.1007/s10579-007-9022-z
000250467300015	2	10.1007/s10579-007-9019-7
000251759800003	2	10.1162/coli.2007.33.4.477
000256443500002	2	10.1080/09296170600850585
000256592800003	2	10.1080/09296170701794302
000256877500001	2	10.1080/09296170801961785
000256877500004	2	10.1080/09296170801961843
000257139400002	2	10.1162/coli.2008.34.2.161
000258162700003	2	10.1080/09296170802159512
000258643400004	2	10.1162/coli.2008.07-051-R2-03-57
000266277800002	2	10.1080/09296170902734164
000269451300003	2	10.1080/09296170902975742
000269913700003	2	10.1007/s10579-009-9092-1
000271982700004	2	10.1007/s10579-009-9106-z
000276471100004	2	10.1007/s10579-009-9095-y
000277771100004	2	10.1080/09296171003643205
000279010600002	1	10.1080/13569780802655731
000279055400004	1	10.1080/13569780902868812
000279055400007	1	10.1080/13569780902868911
000279055600005	1	10.1080/13569780903286048
000281854100001	2	10.1080/09296174.2010.485444
000283876600002	1	10.1080/13569783.2010.512183
000283876600004	1	10.1080/13569783.2010.512186
000283876600006	1	10.1080/13569783.2010.512189
000284412200004	2	10.1080/09296174.2010.512166
000284754800005	1	10.1093/llc/fqp018
000284758300006	1	10.1093/llc/fqq001
000284758900003	1	10.1093/llc/fqq006
000285382400002	2	10.1162/coli_a_00018
000285641500002	1	10.1093/llc/fqq020
000287922900006	2	10.1007/s10579-009-9111-2
000288314500003	2	10.1162/coli_a_00035
000288314500006	2	10.1162/coli_a_00038
000288801500005	1	10.1093/llc/fqq013
000289850000001	2	10.1007/s10579-010-9129-5
000296881000003	2	10.1007/s10579-010-9126-8
000298118200002	2	10.1162/COLI_a_00072
000299555400002	2	10.1080/09296174.2011.608606
000308083100005	2	10.1162/COLI_a_00093
000308083100006	2	10.1162/COLI_a_00090
000310164600002	2	10.1007/s10579-011-9148-x
000310321000005	1	10.1080/13569783.2012.727625
000310321000009	1	10.1080/13569783.2012.727629
000311172500001	2	10.1162/COLI_a_00129
000311172500005	2	10.1162/COLI_a_00112
000316004500004	2	10.1007/s10579-011-9168-6
000319473300011	1	10.1093/llc/fqs068
000319776500009	2	10.1007/s10579-013-9221-8
000323643100009	1	10.1093/llc/fqs056
000323754700008	2	10.1007/s10579-012-9206-z
000323754700012	2	10.1007/s10579-013-9219-2
000327244300005	1	10.1093/llc/fqt038
000327244300007	1	10.1093/llc/fqt024
000328531700001	2	10.1080/09296174.2013.856132
000331800800003	1	10.1080/13569783.2013.872427
000331800800009	1	10.1080/13569783.2013.872430
000333516500003	1	10.1080/13569783.2013.836921
000334162900008	1	10.1093/llc/fqt009
000334162900009	1	10.1093/llc/fqs073
000338029100003	2	10.1080/09296174.2014.911508
000338196000003	2	10.1162/COLI_a_00173
000338196000005	2	10.1162/COLI_a_00175
000340618500003	2	10.1007/s10579-014-9266-3
000341015900002	2	10.1080/09296174.2014.944329
000341843500005	2	10.1162/COLI_a_00194
000345703000005	2	10.1007/s10579-014-9267-2
000345836000006	1	10.1093/llc/fqu037
