ut	level	doi
000302289800007	1	10.1080/13569783.2012.648991
000308083100004	2	10.1162/COLI_a_00091
000310321000004	1	10.1080/13569783.2012.727624
000310373700001	1	10.1093/llc/fqs028
000311508200001	2	10.1007/s10579-011-9145-0
000311508200003	2	10.1007/s10579-011-9156-x
000311508200005	2	10.1007/s10579-011-9171-y
000315648000009	2	10.1162/COLI_a_00139
000316004500003	2	10.1007/s10579-011-9167-7
000316004500009	2	10.1007/s10579-012-9187-y
000316543200010	1	10.1093/llc/fqs060
000317911900002	2	10.1080/09296174.2013.773141
000317911900003	2	10.1080/09296174.2013.773137
000319473300005	1	10.1093/llc/fqs033
000322301300006	2	10.1080/09296174.2012.754602
000325692300005	1	10.1080/13569783.2013.810931
000327124100001	2	10.1162/COLI_a_00150
000327244300002	1	10.1093/llc/fqt046
000327244300010	1	10.1093/llc/fqt039
000328531700005	2	10.1080/09296174.2013.856129
000340618500001	2	10.1007/s10579-014-9268-1
000345008700002	1	10.1080/13569783.2014.954811
000345150100003	2	10.1162/COLI_a_00199
000345703000002	2	10.1007/s10579-014-9286-z
000345836000002	1	10.1093/llc/fqu022
000345836300003	1	10.1093/llc/fqu050
000345836300004	1	10.1093/llc/fqu040
000345836300005	1	10.1093/llc/fqu046
000346409800004	2	10.1080/09296174.2014.945869
000349889400004	2	10.1007/s10579-014-9272-5
000349889400008	2	10.1007/s10579-013-9250-3
000350571000007	1	10.1080/13569783.2014.983061
000353049400004	2	10.1162/COLI_a_00209
000356452400005	1	10.1093/llc/fqu002
000357578000006	2	10.1007/s10579-014-9287-y
000359625700001	2	10.1162/COLI_a_00218
000361044700001	2	10.1162/COLI_a_00225
000361044700002	2	10.1162/COLI_a_00226
000364230000001	2	10.1007/s10579-015-9314-7
000364762000013	1	10.1080/13569783.2015.1059264
000364762000014	1	10.1080/13569783.2015.1060849
000364762000021	1	10.1080/13569783.2015.1059258
000364762000039	1	10.1080/13569783.2015.1059259
000367449700011	1	10.1093/llc/fqv048
000367449700012	1	10.1093/llc/fqv052
000367449700018	1	10.1093/llc/fqv047
000371746500002	2	10.1080/09296174.2015.1071147
000371746500004	2	10.1080/09296174.2015.1071149
000375471100012	1	10.1080/13569783.2016.1157016
000378040800001	2	10.1162/COLI_a_00245
000378144700002	1	10.1093/llc/fqu045
000378144700008	1	10.1093/llc/fqu057
000384451900003	2	10.1162/COLI_a_00254
000384763200005	1	10.1093/llc/fqu068
000388306600002	2	10.1080/09296174.2015.1106270
000391726300005	1	10.1145/2994151
000394880300001	2	10.1162/COLI_a_00260
000396579800011	1	10.1080/13569783.2016.1262249
000398124800004	2	10.1007/s10579-015-9316-5
000398126100003	1	10.1093/llc/fqv028
000398126100008	1	10.1093/llc/fqv026
000399736000005	1	10.1145/2983917
000399736000008	1	10.1145/3012286
000403358700009	2	10.1007/s10579-017-9381-z
000087589500010	1	10.1023/A:1002463121011
000087589500014	1	10.1023/A:1002450818285
000087589500016	1	10.1023/A:1002463718479
000088075200008	1	10.1023/A:1002623823124
000089635700005	2	10.1162/089120100561755
000167734800005	1	10.1023/A:1002705506386
000168871500001	2	10.1162/089120100750105920
000168872200004	2	10.1162/089120101300346813
000175684600001	2	10.1162/089120102317341747
000176756300007	1	10.1023/A:1016130317308
000177248700002	2	10.1162/089120102760173634
000180120400004	2	10.1162/089120102762671954
000181393800005	1	10.1023/A:1022617505636
000181707500004	2	10.1162/089120103321337449
000186631500005	2	10.1162/089120103322711604
000187353300001	1	10.1023/B:CHUM.0000009290.14571.59
000207622400002	2	10.1080/09296170701379336
000207622400004	2	10.1080/09296170701379260
000207735500005	1	10.1093/llc/fqn013
000207735600001	1	10.1093/llc/fqn011
000209902400004	1	10.1145/2597179
000209902600001	1	10.1145/2594443
000209902600002	1	10.1145/2622609
000209902600004	1	10.1145/2629513
000221116700002	2	10.1162/089120103322753347
000221930200003	1	10.1023/B:CHUM.0000031171.79841.02
000221930200005	1	10.1023/B:CHUM.0000031173.25446.37
000228836600005	2	10.1162/0891201053630318
000230227800005	2	10.1162/0891201054223977
000242286600003	2	10.1007/s10579-006-9007-3
000242286600004	2	10.1007/s10579-006-9008-2
000244448000005	2	10.1007/s10579-006-9014-4
000249327800005	2	10.1162/coli.2007.33.3.397
000250467300008	2	10.1007/s10579-007-9034-8
000250467300010	2	10.1007/s10579-007-9032-x
000250722300002	2	10.1007/s10579-007-9033-9
000254203300002	2	10.1007/s10579-007-9048-2
000256443500004	2	10.1080/09296170600850627
000257139400004	2	10.1162/coli.2008.34.2.225
000260838500003	2	10.1007/s10579-008-9069-5
000263798100006	2	10.1007/s10579-008-9075-7
000272350600003	2	10.1162/coli.07-036-R2-06-22
000272350900002	2	10.1162/coli.08-022-R2-06-26
000275310400002	2	10.1162/coli.2010.36.1.36101
000276471100003	2	10.1007/s10579-009-9094-z
000276471100005	2	10.1007/s10579-009-9097-9
000279055400002	1	10.1080/13569780902868713
000279055500002	1	10.1080/13569780903072117
000279055500004	1	10.1080/13569780903072174
000279055600004	1	10.1080/13569780903286030
000279086100005	2	10.1007/s10579-010-9121-0
000283876600007	1	10.1080/13569783.2010.512190
000284753400002	1	10.1093/llc/fqn032
000284754100005	1	10.1093/llc/fqp010
000284754800002	1	10.1093/llc/fqp015
000284758300003	1	10.1093/llc/fqp030
000284758300007	1	10.1093/llc/fqp039
000285641500005	1	10.1093/llc/fqq021
000287404800009	1	10.1080/13569783.2011.541613
000287710000004	2	10.1080/09296174.2011.533591
000288314500008	2	10.1162/coli_a_00040
000288801500003	1	10.1093/llc/fqq016
000289850000004	2	10.1007/s10579-010-9133-9
000293709900006	2	10.1007/s10579-011-9158-8
000293709900007	2	10.1007/s10579-011-9153-0
000294122100005	1	10.1093/llc/fqr023
000294122100014	1	10.1093/llc/fqr021
000294295200004	2	10.1162/COLI_a_00060
000294295200005	2	10.1162/COLI_a_00061
000299627900003	1	10.1080/13569783.2011.589994
000302081800001	2	10.1080/09296174.2011.608604
000302289400009	2	10.1007/s10579-011-9173-9
000304174500003	1	10.1080/13569783.2012.670423
000304174500005	1	10.1080/13569783.2012.670425
000304199900007	1	10.1093/llc/fqs011
000306100900004	2	10.1162/COLI_a_00098
000306100900006	2	10.1162/COLI_a_00099
000307652300001	2	10.1080/09296174.2012.685302
000309469100006	1	10.1093/llc/fqs030
000311508200004	2	10.1007/s10579-011-9166-8
000313632100001	2	10.1080/09296174.2012.714531
000313632100003	2	10.1080/09296174.2012.714537
000315204400002	1	10.1080/13569783.2012.756165
000315204400003	1	10.1080/13569783.2012.756167
000316004500008	2	10.1007/s10579-012-9203-2
000316004500012	2	10.1007/s10579-012-9196-x
000316543200003	1	10.1093/llc/fqs049
000316543200008	1	10.1093/llc/fqs059
000317911900004	2	10.1080/09296174.2013.773138
000319566100006	1	10.1080/13569783.2013.787255
000319776500006	2	10.1007/s10579-012-9208-x
000319776500007	2	10.1007/s10579-013-9217-4
000321607200001	2	10.1080/09296174.2013.799919
000322301300004	2	10.1080/09296174.2012.754601
000325864800009	2	10.1162/COLI_a_00149
000327124700002	2	10.1162/COLI_a_00151
000327244300017	1	10.1093/llc/fqt043
000327244300019	1	10.1093/llc/fqt027
000328213000016	2	10.1007/s10579-013-9230-7
000333516500006	1	10.1080/13569783.2013.836915
000335779200008	2	10.1007/s10579-013-9249-9
000338196000001	2	10.1162/COLI_a_00184
000338196000004	2	10.1162/COLI_a_00174
000340618500002	2	10.1007/s10579-014-9263-6
000341843500008	2	10.1162/COLI_a_00197
000345703000006	2	10.1007/s10579-014-9291-2
000345703000007	2	10.1007/s10579-014-9277-0
000345836000009	1	10.1093/llc/fqu030
000345836300002	1	10.1093/llc/fqu054
000345836300008	1	10.1093/llc/fqu042
000349889400005	2	10.1007/s10579-013-9256-x
000349889400006	2	10.1007/s10579-014-9282-3
000350571000009	1	10.1080/13569783.2014.975110
000350571000012	1	10.1080/13569783.2014.983892
000357578000005	2	10.1007/s10579-015-9296-5
000358361300007	2	10.1007/s10579-015-9301-z
000358361300008	2	10.1007/s10579-015-9297-4
000358361300009	2	10.1007/s10579-014-9284-1
000364015200002	1	10.1093/llc/fqu008
000364015200006	1	10.1093/llc/fqu011
000364762000005	1	10.1080/13569783.2015.1059740
000364762000009	1	10.1080/13569783.2015.1059269
000367448800004	1	10.1093/llc/fqu014
000367448800009	1	10.1093/llc/fqu029
000367449700016	1	10.1093/llc/fqv039
000370863100001	2	10.1007/s10579-016-9337-8
000371746500006	2	10.1080/09296174.2015.1071151
000378144700009	1	10.1093/llc/fqu048
000379618200001	2	10.1080/09296174.2016.1142323
000417909900003	1	10.1093/llc/fqw046
000431078900001	1	10.1093/llc/fqw063
000431078900005	1	10.1093/llc/fqx013
000431078900008	1	10.1093/llc/fqw059
000431078900014	1	10.1093/llc/fqw064
000432144400001	2	10.1007/s10579-018-9412-4
000436132400003	2	10.1162/COLI_a_00316
000443900000005	1	10.1145/1841317.1841322
000443901600002	1	10.1145/1805961.1805963
000454327700002	2	10.1162/coli_a_00329
000454327700007	2	10.1162/coli_a_00334
000454327700012	2	10.1162/coli_a_00339
000406002800013	1	10.1093/llc/fqw002
000407647900002	1	10.1145/3012287
000415620500003	2	10.1007/s10579-016-9362-7
000415620500007	2	10.1007/s10579-016-9335-x
000417646400003	2	10.1162/COLI_a_00300
000417904700003	1	10.1093/llc/fqw052
000417904700014	1	10.1093/llc/fqw051
000417907800005	1	10.1093/llc/fqw015
000417909900005	1	10.1093/llc/fqw042
000417911000008	1	10.1093/llc/fqx042
000417911000012	1	10.1093/llc/fqx035
000419453500002	1	10.1145/3097569
000424674500002	2	10.1007/s10579-017-9388-5
000425711000007	1	10.1145/3075645
000430051300007	1	10.1080/13569783.2018.1440203
000430051300008	1	10.1080/13569783.2018.1438181
000431078900015	1	10.1093/llc/fqx003
000432144400006	2	10.1007/s10579-017-9395-6
000436132400005	2	10.1162/COLI_a_00318
000436336500001	2	10.1080/09296174.2017.1366095
000443559100011	1	10.1093/llc/fqx017
000443560800015	1	10.1093/llc/fqx024
000444091500010	1	10.1080/13569783.2018.1494556
000454327700003	2	10.1162/coli_a_00330
000454327700008	2	10.1162/coli_a_00335
000456779800003	1	10.1145/3183505
000457148000005	1	10.1145/3230670
000086370300003	2	10.1162/089120100561610
000087589500008	1	10.1023/A:1002486301447
000087589500009	1	10.1023/A:1002415205081
000087589500021	1	10.1023/A:1002467221920
000087589500026	1	10.1023/A:1002475423737
000165509000001	1	10.1023/A:1026591719273
000167734800004	1	10.1023/A:1002629217152
000168872200002	2	10.1162/089120101300346796
000169545700002	2	10.1162/089120101750300508
000169648000003	1	10.1023/A:1017507019909
000170991800003	1	10.1023/A:1011856202986
000171613600002	2	10.1162/089120101317066113
000173575800005	2	10.1162/089120101753342662
000174569000004	1	10.1023/A:1014368121689
000176756300006	1	10.1023/A:1016160114582
000177248700003	2	10.1162/089120102760173643
000177959300003	2	10.1162/089120102760276009
000181707500001	2	10.1162/089120103321337412
000183862100002	2	10.1162/089120103322145306
000185302500004	1	10.1023/A:1025729107628
000207735300008	1	10.1093/llc/fqm042
000207735500003	1	10.1093/llc/fqn021
000207735500006	1	10.1093/llc/fqn018
000209929400004	1	10.1145/2583115
000221116700003	2	10.1162/089120103322753356
000221930200002	1	10.1023/B:CHUM.0000031083.26339.d4
000222533400003	2	10.1162/089120104323093285
000225158900001	2	10.1162/0891201041850894
000235203600003	2	10.1162/089120105775299168
000237100000005	2	10.1007/s10579-005-7885-4
000242286600006	2	10.1007/s10579-006-9010-8
000250442700005	2	10.1007/s10579-007-9018-8
000250467300004	2	10.1007/s10579-007-9024-x
000250467300012	2	10.1007/s10579-007-9026-8
000250722300006	2	10.1007/s10579-007-9044-6
000251759800001	2	10.1162/coli.2007.33.4.443
000254203200001	2	10.1007/s10579-007-9059-z
000254485400003	2	10.1162/coli.2008.34.1.81
000256443500003	2	10.1080/09296170600850601
000258117600002	2	10.1007/s10579-008-9065-9
000258117600008	2	10.1007/s10579-008-9066-8
000260838500002	2	10.1007/s10579-008-9073-9
000261404600005	2	10.1162/coli.08-003-R1-07-044
000272350600002	2	10.1162/coli.2008.07-055-R2-06-29
000272350900001	2	10.1162/coli.08-011-R2-07-021
000276471100008	2	10.1007/s10579-009-9096-x
000279010600010	1	10.1080/13569780802655830
000279055400003	1	10.1080/13569780902868770
000279055400005	1	10.1080/13569780902868820
000279055500005	1	10.1080/13569780903072190
000279055900002	1	10.1080/13569780903480971
000279055900005	1	10.1080/13569780903481037
000279086100002	2	10.1007/s10579-010-9123-y
000281854100002	2	10.1080/09296174.2010.485445
000283191000002	2	10.1007/s10579-009-9108-x
000283876600008	1	10.1080/13569783.2010.512191
000283876600009	1	10.1080/13569783.2010.512192
000284412200001	2	10.1080/09296174.2010.512160
000284412200003	2	10.1080/09296174.2010.512162
000284753400005	1	10.1093/llc/fqn030
000284755400006	1	10.1093/llc/fqp025
000284757100006	1	10.1093/llc/fqp037
000284758900002	1	10.1093/llc/fqq011
000287404800003	1	10.1080/13569783.2011.541600
000287404800005	1	10.1080/13569783.2011.541608
000289850000005	2	10.1007/s10579-011-9137-0
000291063000001	1	10.1093/llc/fqr005
000291063000006	1	10.1093/llc/fqr007
000294122100003	1	10.1093/llc/fqr016
000294122100013	1	10.1093/llc/fqr017
000294295200001	2	10.1162/COLI_a_00058
000294295200003	2	10.1162/COLI_a_00064
000299627600007	1	10.1080/13569783.2011.572370
000301006300006	2	10.1162/COLI_a_00088
000301985600006	1	10.1093/llc/fqr038
000310164600001	2	10.1007/s10579-011-9140-5
000310373700006	1	10.1093/llc/fqs014
000311508200002	2	10.1007/s10579-011-9146-z
000316543200002	1	10.1093/llc/fqs048
000318556900003	2	10.1162/COLI_a_00124
000319473300006	1	10.1093/llc/fqs036
000319473300009	1	10.1093/llc/fqs063
000319473300010	1	10.1093/llc/fqs045
000319473300012	1	10.1093/llc/fqs044
000319566100007	1	10.1080/13569783.2013.787260
000319566100008	1	10.1080/13569783.2013.787264
000319776500011	2	10.1007/s10579-013-9225-4
000323754700015	2	10.1007/s10579-013-9237-0
000325692300009	1	10.1080/13569783.2013.810927
000326867300006	2	10.1080/09296174.2013.830554
000327124700006	2	10.1162/COLI_a_00159
000327244300008	1	10.1093/llc/fqt064
000328213000014	2	10.1007/s10579-013-9238-z
000332150100005	2	10.1162/COLI_a_00168
000333210000005	2	10.1007/s10579-013-9226-3
000333516500007	1	10.1080/13569783.2013.836918
000335779200001	2	10.1007/s10579-013-9245-0
000337081700002	1	10.1093/llc/fqt020
000337244600002	1	10.1080/13569783.2014.895616
000340618500005	2	10.1007/s10579-013-9244-1
000342908000004	1	10.1080/13569783.2014.928007
000345836000007	1	10.1093/llc/fqu028
000345836000008	1	10.1093/llc/fqu024
000350571000003	1	10.1080/13569783.2014.953470
000353049400012	2	10.1162/COLI_a_00216
000356451800009	1	10.1093/llc/fqt041
000356451800010	1	10.1093/llc/fqt030
000356452400001	1	10.1093/llc/fqt065
000357578000002	2	10.1007/s10579-014-9271-6
000357648900003	2	10.1080/09296174.2015.1037157
000359625700004	2	10.1162/COLI_a_00221
000364015200003	1	10.1093/llc/fqu012
000364015200004	1	10.1093/llc/fqu013
000364015200007	1	10.1093/llc/fqt069
000364015200010	1	10.1093/llc/fqu009
000364762000008	1	10.1080/13569783.2015.1060122
000364762000016	1	10.1080/13569783.2015.1059266
000364762000041	1	10.1080/13569783.2015.1059261
000365861900002	1	10.1080/13569783.2015.1068109
000367449700002	1	10.1093/llc/fqv015
000367449700006	1	10.1093/llc/fqv051
000367813400003	2	10.1162/COLI_a_00236
000370863100002	2	10.1007/s10579-015-9318-3
000375471100004	1	10.1080/13569783.2016.1155409
000377898300007	2	10.1007/s10579-015-9325-4
000378144700001	1	10.1093/llc/fqu038
000378144700006	1	10.1093/llc/fqu071
000378144700013	1	10.1093/llc/fqu058
000380128100009	1	10.1080/13569783.2016.1192456
000384763200002	1	10.1093/llc/fqu060
000407360600006	2	10.1007/s10579-016-9357-4
000407647900004	1	10.1145/3097571
000407647900005	1	10.1145/3012288
000411507800006	2	10.1162/COLI_a_00296
000413908800011	1	10.1080/13569783.2017.1358083
000415620500004	2	10.1007/s10579-016-9336-9
000417646400002	2	10.1162/COLI_a_00299
000417904700011	1	10.1093/llc/fqx005
000417907800001	1	10.1093/llc/fqw022
000417907800003	1	10.1093/llc/fqw023
000417907800004	1	10.1093/llc/fqw008
000417907800012	1	10.1093/llc/fqw026
000417909900006	1	10.1093/llc/fqw035
000419453500006	1	10.1145/3040200
000419904800006	1	10.1080/13569783.2017.1396208
000424674500007	2	10.1007/s10579-017-9407-6
000424674500010	2	10.1007/s10579-017-9408-5
000427558800003	2	10.1080/09296174.2017.1343268
000430051300002	1	10.1080/13569783.2018.1438180
000430051300003	1	10.1080/13569783.2018.1439734
000431078900010	1	10.1093/llc/fqx009
000432144400005	2	10.1007/s10579-017-9397-4
000432144400010	2	10.1007/s10579-017-9400-0
000438146000009	1	10.1080/13569783.2018.1474092
000441548800001	2	10.1007/s10579-017-9390-y
000441548800009	2	10.1007/s10579-018-9413-3
000443559100012	1	10.1093/llc/fqx049
000443559100014	1	10.1093/llc/fqx041
000443900000002	1	10.1145/1841317.1841319
000452749800009	1	10.1093/llc/fqy003
000454327700010	2	10.1162/coli_a_00337
000456779800005	1	10.1145/3199669
000086370300004	2	10.1162/089120100561629
000087589500015	1	10.1023/A:1002633105432
000087906500004	2	10.1162/089120100561683
000087906500005	2	10.1162/089120100561692
000165509000003	1	10.1023/A:1026475818476
000167733600003	1	10.1023/A:1002471112790
000167733600005	1	10.1023/A:1002485208039
000169545700004	2	10.1162/089120101750300526
000169648000002	1	10.1023/A:1017569003556
000169648000006	1	10.1023/A:1017941320947
000173575800002	2	10.1162/089120101753342635
000174569000002	1	10.1023/A:1014325032412
000177959300004	2	10.1162/089120102760276018
000180268700007	1	10.1023/A:1021818600001
000183862100001	2	10.1162/089120103322145298
000207735300005	1	10.1093/llc/fqm041
000207735400004	1	10.1093/llc/fqm029
000221930200006	1	10.1023/B:CHUM.0000031185.88395.b1
000225158900004	2	NULL
000225712200002	2	10.1162/0891201042544884
000232471600004	2	10.1162/089120105774321064
000235356800008	2	10.1007/s10579-005-2698-z
000238767600002	2	10.1162/coli.2006.32.2.195
000239022500003	2	10.1007/s10579-006-9000-x
000242377300004	2	10.1162/coli.2006.32.4.527
000250442700004	2	10.1007/s10579-007-9017-9
000250722300004	2	10.1007/s10579-007-9040-x
000254203300003	2	10.1007/s10579-007-9049-1
000257139400003	2	10.1162/coli.2008.34.2.193
000258117600003	2	10.1007/s10579-007-9038-4
000258117600004	2	10.1007/s10579-007-9045-5
000263115800003	2	10.1007/s10579-009-9080-5
000263493700001	2	10.1080/09296170802514146
000266250400003	2	10.1007/s10579-009-9087-y
000269451300004	2	10.1080/09296170902850358
000272466300007	2	10.1162/coli.2009.35.4.35407
000272970700001	2	10.1080/09296170903211469
000275310400003	2	10.1162/coli.2010.36.1.36102
000277771100003	2	10.1080/09296171003643189
000279010600013	1	10.1080/13569780802655863
000279055600003	1	10.1080/13569780903286022
000279055900007	1	10.1080/13569780903481060
000281744900004	2	10.1162/coli_a_00003
000283191000001	2	10.1007/s10579-009-9107-y
000284412200005	2	10.1080/09296174.2010.512168
000284412200006	2	10.1080/09296174.2010.512170
000284755400003	1	10.1093/llc/fqp026
000284757100005	1	10.1093/llc/fqp029
000284757100008	1	10.1093/llc/fqp036
000285382400007	2	10.1162/coli_a_00017
000288801500008	1	10.1093/llc/fqq014
000291029800004	2	10.1162/COLI_a_00052
000291063000007	1	10.1093/llc/fqr010
000293709900008	2	10.1007/s10579-011-9150-3
000296132100001	1	10.1093/llc/fqr034
000298118200003	2	10.1162/COLI_a_00073
000298118200009	2	10.1162/COLI_a_00079
000299555400001	2	10.1080/09296174.2011.608602
000299627900002	1	10.1080/13569783.2011.589993
000301006300001	2	10.1162/COLI_a_00083
000301006300002	2	10.1162/COLI_a_00084
000301985600005	1	10.1093/llc/fqr050
000302289400005	2	10.1007/s10579-011-9175-7
000306100900005	2	10.1162/COLI_a_00126
000307652300004	2	10.1080/09296174.2012.685305
000310164600004	2	10.1007/s10579-010-9130-z
000310164600006	2	10.1007/s10579-011-9143-2
000310373700004	1	10.1093/llc/fqs017
000311172500004	2	10.1162/COLI_a_00111
000311508200006	2	10.1007/s10579-011-9172-x
000313632100002	2	10.1080/09296174.2012.714534
000315204400006	1	10.1080/13569783.2012.756178
000316543200004	1	10.1093/llc/fqs047
000319566100004	1	10.1080/13569783.2013.787256
000319566100005	1	10.1080/13569783.2013.787254
000319776500001	2	10.1007/s10579-012-9179-y
000319776500010	2	10.1007/s10579-013-9222-7
000321607200006	2	10.1080/09296174.2013.799911
000323643100002	1	10.1093/llc/fqs070
000323643100004	1	10.1093/llc/fqs015
000325864800001	2	10.1162/COLI_a_00166
000328213000011	2	10.1007/s10579-013-9233-4
000328213000012	2	10.1007/s10579-013-9234-3
000331599600001	2	10.1080/09296174.2014.882187
000331800800002	1	10.1080/13569783.2013.872432
000331800800010	1	10.1080/13569783.2013.872425
000332150100007	2	10.1162/COLI_a_00170
000334162900006	1	10.1093/llc/fqs074
000337244600010	1	10.1080/13569783.2014.895614
000338196000007	2	10.1162/COLI_a_00177
000341843500003	2	10.1162/COLI_a_00192
000345150100002	2	10.1162/COLI_a_00198
000345836000005	1	10.1093/llc/fqu026
000345836000013	1	10.1093/llc/fqu020
000350571000004	1	10.1080/13569783.2014.985643
000351506600002	2	10.1080/09296174.2014.1001636
000353049400002	2	10.1162/COLI_a_00207
000353049400003	2	10.1162/COLI_a_00217
000357578000004	2	10.1007/s10579-014-9285-0
000358361300005	2	10.1007/s10579-015-9295-6
000364015200005	1	10.1093/llc/fqu004
000364015200008	1	10.1093/llc/fqu006
000364762000004	1	10.1080/13569783.2015.1059260
000364762000040	1	10.1080/13569783.2015.1059263
000365861900003	1	10.1080/13569783.2015.1065726
000367449700017	1	10.1093/llc/fqv014
000373936000001	2	10.1162/COLI_a_00241
000373936000003	2	10.1162/COLI_a_00243
000377898300008	2	10.1007/s10579-015-9333-4
000384451900004	2	10.1162/COLI_a_00255
000385833600010	1	10.1093/llc/fqv003
000385833600013	1	10.1093/llc/fqv002
000388281400005	2	10.1007/s10579-015-9334-3
000388281400010	2	10.1007/s10579-015-9311-x
000393039600005	2	10.1007/s10579-015-9312-9
000396579800015	1	10.1080/13569783.2016.1262250
000398124800006	2	10.1007/s10579-016-9338-7
000398124800007	2	10.1007/s10579-016-9339-6
000398126100014	1	10.1093/llc/fqv053
000399500000004	2	10.1080/09296174.2016.1260275
000399736000007	1	10.1145/3012285
000399736200005	1	10.1145/3051480
000399927200008	1	10.1080/13569783.2017.1286975
000403358700008	2	10.1007/s10579-016-9371-6
000404351100004	1	10.1080/13569783.2017.1326807
000404351100014	1	10.1080/13569783.2017.1326806
000404351100015	1	10.1080/13569783.2017.1326805
000406002800003	1	10.1093/llc/fqv064
000406002800012	1	10.1093/llc/fqv058
000087589500002	1	10.1023/A:1002693207386
000087589500012	1	10.1023/A:1002423406899
000087589500013	1	10.1023/A:1002421902549
000087906500002	2	10.1162/089120100561665
000087906500003	2	10.1162/089120100561674
000167734800003	1	10.1023/A:1002646129893
000176756300002	1	10.1023/A:1016134426453
000177248700004	2	10.1162/089120102760173652
000177980500004	1	10.1023/A:1020260012525
000180120400003	2	10.1162/089120102762671945
000183862100004	2	10.1162/089120103322145324
000185302500005	1	10.1023/A:1025746505971
000207622400009	2	10.1080/09296170701574209
000207735300009	1	10.1093/llc/fqm045
000207735400001	1	10.1093/llc/fqn003
000207735500010	1	10.1093/llc/fqn017
000220741000004	2	10.1162/089120104773633394
000221116700001	2	10.1162/089120103322753338
000221930200001	1	10.1023/B:CHUM.0000031184.28781.47
000225691700002	1	10.1007/s10579-004-8682-1
000225838500001	1	10.1007/s10579-004-1919-1
000225838500002	1	10.1007/s10579-004-1926-2
000225838500003	1	10.1007/s10579-004-1917-3
000228836600003	2	10.1162/0891201053630273
000230227800004	2	10.1162/0891201054223995
000232471600002	2	10.1162/089120105774321091
000238767600001	2	10.1162/coli.2006.32.2.159
000239022500002	2	10.1007/s10579-005-8622-8
000240734900003	2	10.1162/coli.2006.32.3.379
000245549200004	2	10.1162/coli.2007.33.1.41
000250467300009	2	10.1007/s10579-007-9031-y
000251759800005	2	10.1162/coli.2007.33.4.553
000254203200010	2	10.1007/s10579-007-9054-4
000254203300001	2	10.1007/s10579-007-9043-7
000256877500002	2	10.1080/09296170801961801
000258643400009	2	10.1162/coli.2008.34.3.465
000261394600002	2	10.1080/09296170802326657
000263798100001	2	10.1007/s10579-009-9088-x
000266250400002	2	10.1007/s10579-009-9083-2
000271982700003	2	10.1007/s10579-009-9104-1
000274220500003	2	10.1080/09296170903395957
000279055400006	1	10.1080/13569780902868861
000279056000004	1	10.1080/13569781003700078
000279086100004	2	10.1007/s10579-010-9118-8
000284753400008	1	10.1093/llc/fqn035
000284754800008	1	10.1093/llc/fqp021
000284757100003	1	10.1093/llc/fqp033
000284758300001	1	10.1093/llc/fqq004
000285641500008	1	10.1093/llc/fqq018
000288314500005	2	10.1162/coli_a_00037
000288801500007	1	10.1093/llc/fqq029
000293709900002	2	10.1007/s10579-011-9151-2
000294122100007	1	10.1093/llc/fqr022
000294122100012	1	10.1093/llc/fqr015
000298118200005	2	10.1162/COLI_a_00075
000298118200006	2	10.1162/COLI_a_00076
000299627600003	1	10.1080/13569783.2011.566988
000299627600008	1	10.1080/13569783.2011.566993
000299629300004	1	10.1080/13569783.2011.617101
000301006300004	2	10.1162/COLI_a_00086
000301985600002	1	10.1093/llc/fqr049
000301985600004	1	10.1093/llc/fqr043
000302289800004	1	10.1080/13569783.2012.648986
000304174500006	1	10.1080/13569783.2012.670426
000304199900010	1	10.1093/llc/fqs009
000306831700004	1	10.1080/13569783.2012.694033
000306831700006	1	10.1080/13569783.2012.694032
000307651800001	2	10.1080/09296174.2012.659001
000310164600003	2	10.1007/s10579-010-9135-7
000311172500002	2	10.1162/COLI_a_00109
000311508200008	2	10.1007/s10579-012-9193-0
000315648000004	2	10.1162/COLI_a_00134
000316004500007	2	10.1007/s10579-012-9192-1
000317911900005	2	10.1080/09296174.2013.773140
000319473300004	1	10.1093/llc/fqt001
000319566100002	1	10.1080/13569783.2013.787262
000323643100008	1	10.1093/llc/fqs019
000323754700005	2	10.1007/s10579-012-9194-z
000325864800007	2	10.1162/COLI_a_00146
000327124700008	2	10.1162/COLI_a_00162
000327244300003	1	10.1093/llc/fqt032
000327244300013	1	10.1093/llc/fqt060
000328213000002	2	10.1007/s10579-012-9213-0
000328213000013	2	10.1007/s10579-013-9236-1
000328531700004	2	10.1080/09296174.2013.857176
000331800800008	1	10.1080/13569783.2013.872428
000333210000004	2	10.1007/s10579-013-9242-3
000334162900004	1	10.1093/llc/fqt015
000334162900007	1	10.1093/llc/fqt011
000335779200005	2	10.1007/s10579-013-9252-1
000337081700005	1	10.1093/llc/fqt018
000338196000002	2	10.1162/COLI_a_00185
000340618500004	2	10.1007/s10579-013-9253-0
000342908000002	1	10.1080/13569783.2014.928004
000342908000003	1	10.1080/13569783.2014.928005
000345836300006	1	10.1093/llc/fqu056
000346409800001	2	10.1080/09296174.2014.974456
000353049400001	2	10.1162/COLI_a_00206
000355405000009	1	10.1080/13569783.2015.1023786
000356452400009	1	10.1093/llc/fqt045
000361044700003	2	10.1162/COLI_a_00227
000361044700006	2	10.1162/COLI_a_00230
000364762000003	1	10.1080/13569783.2015.1059262
000364762000028	1	10.1080/13569783.2015.1059745
000367448800003	1	10.1093/llc/fqu051
000367449700007	1	10.1093/llc/fqv046
000371746500003	2	10.1080/09296174.2015.1071148
000371922500008	1	10.1080/13569783.2015.1127142
