id	doi	level	outgoing	incoming
000207735300009	10.1093/llc/fqm045	1	17	19
000207735300010	10.1093/llc/fqm037	1	1	0
000207735300011	10.1093/llc/fqm025	1	8	4
000207735300012	10.1093/llc/fqm031	1	0	0
000207735300013	10.1093/llc/fqm032	1	0	0
000207735300014	10.1093/llc/fqm033	1	0	0
000207735300015	10.1093/llc/fqm034	1	1	0
000207735300016	10.1093/llc/fqm035	1	0	0
000207735300017	10.1093/llc/fqm036	1	0	0
000207735400001	10.1093/llc/fqn003	1	3	51
000207735400002	10.1093/llc/fqn005	1	6	2
000207735400003	10.1093/llc/fqn004	1	2	7
000207735400004	10.1093/llc/fqm029	1	9	15
000207735400005	10.1093/llc/fqm048	1	1	0
000207735400006	10.1093/llc/fqm046	1	1	3
000207735400007	10.1093/llc/fqn006	1	0	0
000207735400008	10.1093/llc/fqm049	1	0	0
000207735400009	10.1093/llc/fqm047	1	0	0
000207735400010	10.1093/llc/fqn002	1	0	0
000207735400011	10.1093/llc/fqn001	1	0	0
000207735500001	10.1093/llc/fqn025	1	0	0
000207735500002	10.1093/llc/fqn014	1	2	5
000207735500003	10.1093/llc/fqn021	1	2	1
000207735500004	10.1093/llc/fqn016	1	1	11
000207735500005	10.1093/llc/fqn013	1	3	5
000207735500006	10.1093/llc/fqn018	1	1	3
000207735500007	10.1093/llc/fqn015	1	14	28
000207735500008	10.1093/llc/fqn010	1	5	3
000207735500009	10.1093/llc/fqn020	1	2	19
000207735500010	10.1093/llc/fqn017	1	17	3
000207735600001	10.1093/llc/fqn011	1	0	1
000207735600002	10.1093/llc/fqn019	1	3	18
000207735600003	10.1093/llc/fqn022	1	12	7
000207735600004	10.1093/llc/fqn023	1	15	10
000207735600005	10.1093/llc/fqn040	1	7	26
000207735600006	10.1093/llc/fqn008	1	0	0
000207735600007	10.1093/llc/fqn009	1	0	0
000207735600008	10.1093/llc/fqn026	1	0	0
000207735600009	10.1093/llc/fqn027	1	0	0
000207735600010	10.1093/llc/fqn028	1	0	0
000207735600011	10.1093/llc/fqn029	1	0	1
000207735600012	10.1093/llc/fqn024	1	0	0
000209902300001	10.1145/2635671	1	0	0
000209902300002	10.1145/2611376	1	22	19
000209902300003	10.1145/2629485	1	4	0
000209902300004	10.1145/2614567	1	5	1
000209902300005	10.1145/2611375	1	2	11
000209902300006	10.1145/2627729	1	6	3
000209902300007	10.1145/2611374	1	11	0
000209902300008	10.1145/2611519	1	29	5
000209902300009	10.1145/2626289	1	2	0
000209902400001	10.1145/2567652	1	16	13
000209902400002	10.1145/2597178	1	21	3
000209902400003	10.1145/2558306	1	10	0
000209902400004	10.1145/2597179	1	3	0
000209902400005	10.1145/2597183	1	15	0
000209902600001	10.1145/2594443	1	25	1
000209902600002	10.1145/2622609	1	7	4
000209902600003	10.1145/2629484	1	18	1
000209902600004	10.1145/2629513	1	15	0
000209902600005	10.1145/2629514	1	47	2
000209902600006	10.1145/2637485	1	4	4
000209902600007	10.1145/2629682	1	3	4
000209929400001	10.1145/2533988	1	8	4
000209929400002	10.1145/2538030	1	18	1
000209929400003	10.1145/2583114	1	9	0
000209929400004	10.1145/2583115	1	32	0
000225838500001	10.1007/s10579-004-1919-1	1	6	9
000225838500002	10.1007/s10579-004-1926-2	1	1	22
000225838500003	10.1007/s10579-004-1917-3	1	6	12
000225838500004	10.1007/s10579-004-1948-9	1	9	1
000225838500005	10.1007/s10579-004-1367-y	1	1	2
000225838500006	10.1007/s10579-004-1906-6	1	1	6
000225838500007	10.1007/s10579-004-2323-6	1	1	2
000279010600001	10.1080/13569780802655723	1	0	7
000279010600002	10.1080/13569780802655731	1	0	1
000279010600003	10.1080/13569780802655749	1	0	5
000279010600004	10.1080/13569780802655764	1	1	1
000279010600005	10.1080/13569780802655772	1	0	0
000279010600006	10.1080/13569780802655780	1	2	1
000279010600007	10.1080/13569780802655798	1	0	3
000279010600008	10.1080/13569780802655814	1	0	2
000279010600009	10.1080/13569780802655822	1	2	0
000279010600010	10.1080/13569780802655830	1	5	2
000279010600011	10.1080/13569780802655848	1	0	4
000279010600012	10.1080/13569780802655855	1	0	1
000279010600013	10.1080/13569780802655863	1	0	2
000279055400001	10.1080/13569780902868499	1	2	3
000279055400002	10.1080/13569780902868713	1	2	20
000279055400003	10.1080/13569780902868770	1	7	2
000279055400004	10.1080/13569780902868812	1	0	2
000279055400005	10.1080/13569780902868820	1	5	9
000279055400006	10.1080/13569780902868861	1	2	1
000279055400007	10.1080/13569780902868911	1	1	7
000279055400008	10.1080/13569780902868952	1	0	5
000279055400009	10.1080/13569780902868960	1	1	4
000279055500001	10.1080/13569780903072109	1	0	0
000279055500002	10.1080/13569780903072117	1	2	1
000279055500003	10.1080/13569780903072125	1	2	14
000279055500004	10.1080/13569780903072174	1	12	5
000279055500005	10.1080/13569780903072190	1	2	2
000279055500006	10.1080/13569780903072224	1	0	3
000279055500007	10.1080/13569780903072232	1	0	0
000279055500008	NULL	1	0	0
000279055500009	NULL	1	0	0
000279055500010	NULL	1	0	0
000279055500011	NULL	1	0	0
000279055500012	NULL	1	1	0
000279055500013	NULL	1	0	0
000279055500014	NULL	1	0	0
000279055500015	NULL	1	0	0
000279055600001	10.1080/13569780903285966	1	0	0
000279055600002	10.1080/13569780903285982	1	1	0
000279055600003	10.1080/13569780903286022	1	1	2
000279055600004	10.1080/13569780903286030	1	1	5
000279055600005	10.1080/13569780903286048	1	1	0
000279055600006	10.1080/13569780903286089	1	0	0
000279055600007	10.1080/13569780903286105	1	0	0
000279055900001	10.1080/13569780903480955	1	0	0
000279055900002	10.1080/13569780903480971	1	3	4
000279055900003	10.1080/13569780903480989	1	0	0
000279055900004	10.1080/13569780903481003	1	0	2
000279055900005	10.1080/13569780903481037	1	0	3
000279055900006	10.1080/13569780903481052	1	0	1
000279055900007	10.1080/13569780903481060	1	1	0
000279055900008	10.1080/13569780903481078	1	0	0
000279055900009	10.1080/13569780903481086	1	0	0
000279055900010	10.1080/13569780903481094	1	0	0
000279055900011	NULL	1	0	4
000279055900012	NULL	1	0	0
000279056000001	10.1080/13569781003700060	1	0	0
000279056000002	10.1080/13569781003700045	1	0	4
000279056000003	10.1080/13569781003700052	1	1	5
000279056000004	10.1080/13569781003700078	1	1	4
000279056000005	10.1080/13569781003700086	1	2	6
000279056000006	10.1080/13569781003700094	1	3	1
000279056000007	10.1080/13569781003700110	1	2	0
000279056000008	10.1080/13569781003700144	1	1	2
000279056000009	10.1080/13569781003700151	1	10	2
000279056000010	10.1080/13569781003700177	1	0	2
000221930200001	10.1023/B:CHUM.0000031184.28781.47	1	0	3
000221930200002	10.1023/B:CHUM.0000031083.26339.d4	1	3	0
000221930200003	10.1023/B:CHUM.0000031171.79841.02	1	6	1
000221930200004	10.1023/B:CHUM.0000031172.03949.48	1	2	5
000221930200005	10.1023/B:CHUM.0000031173.25446.37	1	5	1
000221930200006	10.1023/B:CHUM.0000031185.88395.b1	1	4	11
000187353300001	10.1023/B:CHUM.0000009290.14571.59	1	9	8
000187353300002	10.1023/B:CHUM.0000009291.06947.52	1	6	15
000187353300003	10.1023/B:CHUM.0000009278.73498.f4	1	4	0
000187353300004	10.1023/B:CHUM.0000009225.28847.77	1	10	28
000187353300005	10.1023/B:CHUM.0000009226.51168.47	1	3	1
000225691700001	10.1007/s10579-004-0233-2	1	3	1
000225691700002	10.1007/s10579-004-8682-1	1	19	10
